,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
NNDPR,28.987483509965898,29.3124703293156,27.26223077945989,14.1657139855617,14.8896591039573,15.1706870402297,42.4170190031944,53.716033651246796,43.5687851703362,23.5994047257312,18.9064047958488,22.776638813895804,13.078495451764699,14.170320824670599,9.56121257904477,78.57622305894171,81.7004739243956,49.6518617159122,27.99620223375,28.6185090822926,12.8673728092101,428.75405999925204,377.905377422752,432.298397329243
NO3abcpp,0.0743156165861317,0.8213793654581278,0.36256766563354,0.16516699342747398,0.0,0.0655460730489125,0.168707358248564,0.221944491893165,0.5933392630325021,0.12633147843106,0.452392399196806,0.095264891221668,0.327405916476537,0.0508907664359372,0.19376321788420606,0.17740156794471598,0.144123537277695,0.424204095687136,0.447914523214581,0.6089682750215301,0.121690038680161,0.505217334806826,0.176895679612654,0.149331207386936
NO3t2,2.23102756646338,3.76728805118776,4.83761612607549,9.09053721518133,5.754594570401402,7.215110040999519,7.31576453496046,2.22099697831552,2.22657819597774,2.5283964424454104,4.09593637754311,2.0655160505788897,2.80829889996758,3.5648448069145697,4.20113886048937,1.9725069442804095,2.16336484452148,3.00688025518093,4.33286825148762,5.07828439135087,1.6236684881241,1.12349029698301,2.16357023526246,2.98871269609378
NO3t2pp,2.6565657413834103,2.63798390469588,2.8351602706098102,1.4760591262745602,0.667101712493839,0.805433829713452,1.31923622761582,1.65288872182732,0.911373276677851,1.7405341630209,3.10438959515748,2.71371078307906,1.04498241658955,0.7958982160636741,1.7316169542063895,1.2551057067002,1.04649889304331,1.00698800114959,2.50181765308378,4.4217942311575085,2.44691023912848,1.50500339549012,1.58087567541426,0.750677837602009
NODOx,182.5168915366249,153.4525579815796,181.3909637463634,116.30999192198706,175.3100547800147,101.41613680243637,569.6370515227563,677.6334585432319,591.0030049430023,115.4758254055167,117.31750964492291,119.28675474721821,56.08652529650948,58.019438344749986,39.69816609055571,804.4654117219025,735.7767210153455,814.0168959539403,117.4483484339832,92.1070571408268,58.49994497514869,1649.0763385583825,1370.7137515783736,1497.8556668448496
NODOy,182.5168915366249,153.4525579815796,181.3909637463634,116.30999192198706,175.3100547800147,101.41613680243637,569.6370515227563,677.6334585432319,591.0030049430023,115.4758254055167,117.31750964492291,119.28675474721821,56.08652529650948,58.019438344749986,39.69816609055571,804.4654117219025,735.7767210153455,814.0168959539403,117.4483484339832,92.1070571408268,58.49994497514869,1649.0763385583825,1370.7137515783736,1497.8556668448496
NORRDX,0.993170557005609,0.422196074702076,0.496967748583904,0.84897258475113,0.613906101799287,0.5390599455919189,0.17343407302708,0.15210850953023,0.30498149619235304,0.4329031265202271,0.597943525169917,0.489669753369996,0.144248111600346,0.209266341292604,0.497979821825249,0.12158124699659402,0.29632296242008804,0.32706684317257106,0.6906957787931739,0.626029886175151,0.5003978314692821,0.173124043608374,0.303086347612198,0.0767575279348798
NOX,4.7959801739203,3.69953107184985,4.4083962639089815,10.2023295364625,9.259791263163882,7.57269343232004,5.78945394852986,5.33145797432574,4.75098273205162,4.23892097411844,3.80807954853312,3.2691620944414104,3.7451468143718905,5.06454656193036,3.87874930764606,2.02926973404387,2.02196844945472,3.4573396755508194,4.77582273399265,2.5630400045759103,3.89758310938184,2.69691555702637,2.96777499896913,3.7579896650323903
NPHS,43.93930493182619,40.840668557593276,39.13989351560818,34.329952280445745,37.09116323233013,35.39706448624053,67.66488723775919,72.36473229841556,58.34846995717713,40.12537415309049,37.916655775114265,34.5720688946642,35.21143738133352,35.35275693466715,41.10047067162571,75.38435430317618,75.32143743244791,73.68700552892625,34.46485251146446,37.266103547781654,37.661393784910274,51.19282823126914,46.557141489529684,43.30173306337992
NTD1,34.1452936295413,27.728348082639297,36.2421039004056,155.10729123403098,156.971376526078,172.190015855913,160.355103519979,148.292375452898,164.272900897608,25.773014961830697,25.3871969902208,32.2433130542573,186.685340354299,149.93317864376004,252.97960807336497,137.819495308698,118.917019433555,133.90501344006398,32.2839332840621,45.3871667476984,46.5222807433647,270.226264538129,219.94441387956695,322.896344278529
