,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
SHSL4r,478.1400004317277,364.320387337839,367.157857648544,0,0,0,379.56239444000886,573.2934891019071,203.071383190258,208.7518823493904,152.4433667298523,171.84891973308777,0,0,0,710.4917040007446,461.00365499351153,400.6027716609054,256.7529033730602,249.8223170707451,359.83698538422647,279.6536689367516,491.6504610317206,490.6690203171289,0,0,0,254.45406680790103,229.9311979621723,264.8663694407261,285.5944489267681,257.1304486852621,511.1475214287811,0,0,0,200.8617438373306,255.4185586594499,234.576256381602,370.97247649631106,363.9955904887397,292.37707653753887
SKMt2,12.668502620832601,8.38848053417812,6.658086150332861,0,0,0,19.2250469302793,19.8819568285421,14.3664267266531,71.8098256703859,59.2367410313052,54.87612562905311,0,0,0,20.085148148033,12.465081096898999,10.8167351214454,13.1412240793468,6.290750097005731,9.338673833825858,9.278723160858199,16.2405183417923,18.1076878548969,0,0,0,24.4260517646285,9.722891753933961,17.8852457374457,68.7790958845274,68.5814493771733,17.7746903496723,0,0,0,39.8556154000485,86.6441403728393,214.242231024241,22.726594810442094,18.305224365250602,8.07436693926343
SKMt2pp,146.83946219601384,204.36074128954638,122.94428262501451,0,0,0,1558.4634373940114,787.0701258271495,1353.0067722079798,249.33111144782063,180.86858013942356,222.32051422612466,0,0,0,2258.8443441604913,2053.2645059285505,2207.3811091097086,75.93631382559245,82.86436334676505,75.30547623446814,95.37117983059309,78.57912336144136,102.0935396955084,0,0,0,351.8697771920299,625.4553961085322,764.3000900498606,308.2521458783114,289.6549844443107,320.57029567261185,0,0,0,1457.1494531028789,1710.9740603993564,1882.122286842465,129.20852825419442,81.31906123549119,108.57898699904254
SLCYSS,1093.52211258914,1343.09697380423,1082.16931058523,0,0,0,944.8493248211572,2449.40236029429,666.0586055919099,294.43055847113897,250.703363701211,292.504190688545,0,0,0,2605.84385484805,2267.1121676974803,2232.92701546036,2759.49071205422,2410.94805154554,2960.061562540869,992.764652115873,1872.21944714824,1086.24989750563,0,0,0,1718.2861926393,1405.71745936173,1418.99421691268,1810.37685326266,1455.93951568936,2033.69995852906,0,0,0,252.858804988387,342.062699032289,357.070385040402,2284.21869737021,2157.5701547926997,2150.11892258965
SO3abcpp,4.41478121635076,2.53100705772616,2.34498631709836,0,0,0,9.08339373311361,6.84012276211312,5.28063252655356,6.677594661766928,3.86021416673198,4.33232570755682,0,0,0,6.695049382677669,4.80212140618241,3.06857733941712,3.0773752590875296,1.5184569199669,1.29151872169932,2.87757870178514,8.682430959650508,13.8802120911078,0,0,0,3.26962897636759,5.0893261524498,7.29529760343181,3.9404690350510494,2.53264827631933,6.94715010145644,0,0,0,6.6865933121494185,10.679138012916699,14.699295439056003,9.69798657859382,8.35123139244152,6.02036131436308
SO4t2,42.99613010706821,55.24826834579381,33.5835540413016,0,0,0,38.891035303913604,78.2510043985741,32.22738968411361,45.40764370001511,34.7419275005878,43.323257075568286,0,0,0,49.4780478768618,61.9167143009902,51.168527134780504,43.8318043659225,47.21677946373261,57.3235617246545,44.279476349918234,64.15004745007964,54.74581114106966,0,0,0,65.20024841109489,64.7179982371229,57.7740503755648,74.60024332267102,64.71582832384391,83.92908365813585,0,0,0,38.1839670720112,40.404573718973296,30.623532164700002,69.0614195748348,70.6902212814747,72.03185243185007
SPMDabc,3.8389401881310894,4.33886924181626,4.18747556624708,0,0,0,6.96687480500948,6.2017113043159,5.35828888723817,2.67103786470677,3.2987284697527777,3.9712985652604282,0,0,0,5.5519921710009905,2.963011080410428,4.44943714215483,6.9864735611716995,4.555370759900698,5.464117668727898,5.57897911570587,6.43374380463312,5.14342884594349,0,0,0,5.8660990458359805,3.418204132242408,4.82430970549522,4.03002514948403,5.06529655263866,5.695411344437259,0,0,0,1.6716483280373544,2.862449364286936,4.287294503058,9.893905499373481,10.12270471811094,7.507744697911619
SPMDabcpp,7.389959862152351,6.435989375360791,6.741835661657801,0,0,0,9.78890004248167,11.58260787717821,7.92094878983034,8.73223917307983,8.843399727422348,8.014802558980128,0,0,0,14.04327431488486,5.4151581814397485,7.97830108248452,10.23019342885856,8.243051851248879,7.451069548265318,8.57401000940061,10.681263986332642,8.87769910395726,0,0,0,8.55873467343282,5.469126611587848,6.82463324192007,11.642294876287188,10.463836299529863,18.40055972818196,0,0,0,3.1673336741760445,7.3763118233548015,15.80174259698519,20.47352722147583,15.43712469511918,11.757411508050268
SPMDt3,0.0959735047032773,0.0,0.0418747556624708,0,0,0,0.176376577342012,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.102172795876222,0.15342886697085598,0.0,0.0,0.0993475939768709,0.11745219190959698,0.0624635320838166,0.140915858792972,0,0,0,0.2884966743853761,0.075960091827609,0.23533218075586498,0.0,0.0,0.0625869378509589,0,0,0,0.0879814909493345,0.0,0.1224941286588,0.0,0.0843558726509245,0.0708277801689775
SPMDt3pp,2.49531112228521,2.82026500718057,1.88436400481119,0,0,0,2.29289550544615,1.91523437339167,2.56265990259217,1.3355189323533898,1.82482851518239,1.87734113994129,0,0,0,1.95952664858859,2.8608382845342004,2.76171960547541,3.74275369348484,3.90460350848631,2.9804278193061298,2.3490438381919505,2.06129655876595,2.5364854582735,0,0,0,3.65429120888143,3.87396468320806,4.23597925360557,2.59712731855637,2.99918874827289,2.87899914114411,0,0,0,1.84761130993602,2.09178992005584,1.3474354152468002,1.46939190584755,1.18098221711294,1.62903894388648
