,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
NI2t3pp,9.145301353971721,11.0829812155089,8.95148762349919,0,0,0,37.000738507617704,6.31141762108022,35.4236804717121,13.623186433705099,16.758110249515,15.539863951019,0,0,0,8.34218772496952,11.735063874189201,10.5621321465444,146.184365274517,297.796753092887,206.61419906784,11.426055625987999,9.21110781091064,16.1083164670952,0,0,0,6.480722395613519,9.66014211285897,9.762874890053089,14.017478780813999,15.1408320866916,10.930037697160198,0,0,0,12.368412495776,8.61606832059614,7.589310145164781,124.43690874158199,97.98729265176229,130.51814852877501
NI2uabcpp,202.8162874771455,274.33019299377673,297.25458651683954,0,0,0,143.87391673697272,150.37040503010746,171.03606875640492,90.94052851749707,113.32808405110607,100.91058488400463,0,0,0,213.22371699673675,239.41998674586094,270.2752530975787,169.13230959123374,210.01267069137498,196.1382276463006,265.50036498257117,214.62809903152748,188.2731585622534,0,0,0,196.57661463120553,237.1141745130975,208.74132889461953,224.8224917362303,280.2717147953606,181.33921226019686,0,0,0,92.47546910309347,83.39056263269697,70.80319028523704,130.29817391048869,122.91622619016081,150.73703312532464
NIabc,92.00142508709487,102.79085813882018,183.23502994694155,0,0,0,131.2236120238538,43.14826474472583,207.41502121214523,354.5246447050149,387.750101955251,380.0725895916975,0,0,0,122.08327972032804,169.98174465331576,201.51462845817184,194.7250517958005,174.85035073699603,169.4331886255253,116.7182648823228,66.85751556068743,73.3596716624932,0,0,0,128.88353937141147,108.70350674110551,118.69725277328875,93.27776153753928,118.30438129632032,57.1922431130774,0,0,0,415.54612306421285,331.6741117069545,261.2822250175066,96.84852639283471,100.8537713270366,150.31291460185264
NIT1b_1,358.15112562447,291.894415139549,256.591927275505,0,0,0,423.48751122222603,397.344631285252,347.026861809356,545.764948317489,435.005194925289,441.8821793732,0,0,0,404.832762468822,362.12806038421206,363.994004714714,407.84752342777495,307.871659740313,295.196887311483,219.45819712275105,276.368596381262,331.188965001712,0,0,0,253.43631465104198,272.19032904893197,260.458793805319,356.825143443898,334.978835889275,381.2261657119609,0,0,0,632.137847732328,647.0901657848179,517.410095532744,304.592697149648,303.59327084265,281.28219988981897
NNAM,42.97203257685096,39.690387905606464,46.015915206228,0,0,0,32.18219442626755,39.86653492659508,25.904501134733337,22.438461568170645,24.906227234204188,24.144299518330552,0,0,0,41.142955260466806,35.71266692281783,35.66929402745524,23.177971864217582,21.636873398729655,22.86124981522961,40.24035990261754,42.97401123743715,50.895493375909794,0,0,0,32.14044507838408,34.56824733417282,33.86287152142546,34.70225355057371,30.252248495354326,37.87671564656053,0,0,0,24.296522047803744,35.127902366415846,35.55308919612545,29.55735729741346,25.628827516343307,26.897578311183526
NNATr,98.1761753030247,101.319314535673,81.0951552283041,0,0,0,108.139081845758,144.826205804741,69.42393774864689,52.8818341436271,36.5119114429095,48.2158653427545,0,0,0,142.413685389225,134.778759150382,132.384798331684,99.6249677731484,86.8479914152288,101.627702691094,70.0862259919565,106.836533017675,93.48188665282422,0,0,0,86.6015518009288,92.48037409394148,88.1531201683855,101.203303086011,78.81292594125709,102.669938485562,0,0,0,50.7696472363373,53.663405484320094,50.8718785686819,102.67007925011299,113.39641897337401,105.970744318394
NNDPR,166.88988748895,181.201818911101,238.768619109901,0,0,0,222.787655370021,120.62876595253701,267.142981337045,50.3539726294664,64.3080909101789,54.835813895594704,0,0,0,166.77963538890302,207.44936305574402,209.799489277472,166.481180527569,297.12553305318403,245.677301361523,205.830626954873,154.363901126673,107.13307491156999,0,0,0,133.273778424333,123.856110319895,118.05251432006,139.407547590252,167.168794489576,120.549225121798,0,0,0,80.9025204131811,49.1717965824206,37.8142794546049,100.13097552163099,89.96574595529628,121.76795703927701
NO3abcpp,0.0,0.15160269887548095,0.146312912866774,0,0,0,0.36976221664992,0.19119840005906694,0.27133599121108,0.0,0.0490466192329836,0.40366417028249,0,0,0,0.570558656122928,0.356997889155211,0.16082690458160998,0.232487223758667,0.151587992409594,0.138850585572147,0.16415400686177098,0.26190160202858104,0.246184239680245,0,0,0,0.201604943665532,0.106163650353052,0.411132391257626,0.250331556765838,0.605473308914474,0.17494601775250598,0,0,0,0.0,0.0769351546601876,0.0856003694331237,0.479186738454826,0.412642284106549,0.395962432810496
NO3t2,2.90828802131143,2.5284785791470097,2.24503352036557,0,0,0,2.05567106459221,5.9525543850557,1.62915441995688,4.07097397346379,3.27206117120744,3.36622044099209,0,0,0,4.94829961764794,4.04880543099246,5.90111026810985,2.13262318717085,3.37097773330425,3.7052715702329504,2.05335999841954,3.7856686111404,3.6132271485377503,0,0,0,3.36243210239366,1.41650520890646,2.6056593440334703,2.50506613798541,3.4178789154107005,4.08492834458473,0,0,0,1.43559542341571,3.84944777338211,4.568545591004192,5.93693699332343,5.505744601925138,5.28319106155543
NO3t2pp,0.599366149591115,1.46774135164224,0.784538747774628,0,0,0,0.826119800196777,4.34293508705595,0.666838382147324,0.8821658713677559,0.438318264620762,0.507298092219769,0,0,0,2.4220014521977,1.1166425778821998,0.7785227441924789,1.42840803637204,1.24181451393152,0.8531018998794531,1.0085668313860798,1.5603692636082198,1.81507546454648,0,0,0,1.65155525279164,1.00805742472237,0.6889115361705649,1.74777740891839,2.2892584773008395,3.4200512486862795,0,0,0,0.824182585005475,0.68755163977348,1.62560514223232,2.52354581800516,1.97554736887411,1.27169316462645
NODOx,337.8995538933117,321.1971510998553,366.3765120651746,0,0,0,313.3079380761779,72.9851225051697,489.8086083458018,5492.552605079385,4053.8995217093557,4482.72369832758,0,0,0,908.1405351014038,403.80356854191143,846.2744953556453,137.3479337724709,210.62489348418438,273.78133208202115,535.9519578480246,517.0384543867525,529.883844308922,0,0,0,231.3220911937454,281.6122674723744,271.2526841380516,185.0436035185074,114.69929526028031,184.4880321011739,0,0,0,1935.807774684338,1786.0761433444677,1354.6255058031566,40.16667796292142,43.30942609587817,43.35326339150214
NODOy,337.8995538933117,321.1971510998553,366.3765120651746,0,0,0,313.3079380761779,72.9851225051697,489.8086083458018,5492.552605079385,4053.8995217093557,4482.72369832758,0,0,0,908.1405351014038,403.80356854191143,846.2744953556453,137.3479337724709,210.62489348418438,273.78133208202115,535.9519578480246,517.0384543867525,529.883844308922,0,0,0,231.3220911937454,281.6122674723744,271.2526841380516,185.0436035185074,114.69929526028031,184.4880321011739,0,0,0,1935.807774684338,1786.0761433444677,1354.6255058031566,40.16667796292142,43.30942609587817,43.35326339150214
NORRDX,0.482625382846941,0.0519500627612101,0.120329757650778,0,0,0,0.0633536556544583,0.26207366904648,0.0557876154343471,0.295207544728865,0.302524621217239,0.20748686338873695,0,0,0,0.586544135712579,0.22019999111254604,0.0551109435958535,1.79250655818239,0.5713952558715071,0.42822238783134,0.0421882873238497,0.358985816573659,0.354314300126008,0,0,0,0.552675621427923,0.4911212833681621,0.422651186702344,0.3860177346249071,0.0957595385783169,0.584504448320737,0,0,0,0.18961528221839305,0.0790906654588566,0.0,0.633358580106702,0.36360289935743295,0.40705620786768704
NOX,7.15096701710694,5.10455204919561,5.911730211172348,0,0,0,2.76669140928646,5.030306108028831,3.50214959950207,2.82010030964516,2.80518433742604,2.8315854297757,0,0,0,3.39379781929811,2.60440460076643,3.25009190625715,2.1200783448933698,3.1191458673456403,1.55839363100974,5.75746038772537,6.98121829172068,5.66426491226653,0,0,0,5.45783743175105,4.46824069574171,4.9604332218148,4.7412060582165,4.05119177326621,5.0529821926034,0,0,0,5.00286909319745,5.61264581232733,5.1895993756326115,9.005066302822712,4.58529123921892,3.61082800861454
NPHS,552.1592428275356,574.3556276587185,702.5129182997025,0,0,0,386.6944427083223,472.9563629380302,353.2888945409933,250.54803748382648,208.68571767198566,200.16679618174015,0,0,0,566.515850627458,558.3789464331228,574.7308222860007,269.14958859732775,285.7353589990934,323.1413768355136,513.3354833864216,623.445125182502,478.60646803251393,0,0,0,521.410777995044,431.8736218024269,456.75491510259,440.54954274289815,388.61376823109657,438.6895193090754,0,0,0,260.4933830334482,218.83205106010178,218.66281000575577,219.4597676045546,232.0613321181609,238.7189905788771
NTD1,69.5102221564178,90.74759198569971,120.954410657406,0,0,0,102.562115133314,81.70146632524,139.990816871401,71.2578917526411,85.0657711875652,82.11597746349541,0,0,0,149.485948375784,174.29476943590697,160.479825930914,61.869594007224904,77.89003458513679,71.8322064293552,89.45654077428291,56.87549551259279,57.937831648336,0,0,0,78.0166660306858,84.6173081756086,89.04266030437903,119.298402437068,119.248790100175,85.0599437214625,0,0,0,136.39287506238702,99.435576050126,84.514944160422,49.3398752698809,58.925058101748704,76.7300951830589
NTD10pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD11pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD2,69.5102221564178,90.74759198569971,120.954410657406,0,0,0,102.562115133314,81.70146632524,139.990816871401,71.2578917526411,85.0657711875652,82.11597746349541,0,0,0,149.485948375784,174.29476943590697,160.479825930914,61.869594007224904,77.89003458513679,71.8322064293552,89.45654077428291,56.87549551259279,57.937831648336,0,0,0,78.0166660306858,84.6173081756086,89.04266030437903,119.298402437068,119.248790100175,85.0599437214625,0,0,0,136.39287506238702,99.435576050126,84.514944160422,49.3398752698809,58.925058101748704,76.7300951830589
NTD2pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD3pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD4pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD5,69.5102221564178,90.74759198569971,120.954410657406,0,0,0,102.562115133314,81.70146632524,139.990816871401,71.2578917526411,85.0657711875652,82.11597746349541,0,0,0,149.485948375784,174.29476943590697,160.479825930914,61.869594007224904,77.89003458513679,71.8322064293552,89.45654077428291,56.87549551259279,57.937831648336,0,0,0,78.0166660306858,84.6173081756086,89.04266030437903,119.298402437068,119.248790100175,85.0599437214625,0,0,0,136.39287506238702,99.435576050126,84.514944160422,49.3398752698809,58.925058101748704,76.7300951830589
NTD5pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD6pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD7pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
NTD8pp,11.071390213926001,13.919690055905097,9.52081969790584,0,0,0,12.716621102794301,11.5607708655433,16.4583567916413,28.6630488499721,41.1417252816749,28.959655411569198,0,0,0,16.6469958967955,18.5706423088236,17.5964696525932,14.9498172718375,14.403299327079,12.7932515382691,11.0677618801465,10.0963858029509,9.7818855701359,0,0,0,14.8343919312847,19.410325275867894,16.3359360886868,17.058307511043502,18.1931562791127,10.997838844367001,0,0,0,8.32018123665738,7.97463063878113,6.49029923812555,11.5632897576199,11.202188319841099,11.923388881565002
