,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
OCBT,844.718199322086,747.61323107097,782.466988024228,0,0,0,462.021440670523,1491.82423564107,351.69430535947,198.542499900639,194.47526367033,177.37442715320995,0,0,0,1190.09864958067,805.3091758114481,749.337978282484,499.651432248648,633.894316272382,692.82392616101,830.7036324275841,1221.00076396203,1024.54494674502,0,0,0,618.012608380622,559.793552725424,558.2357399681,872.6887989390759,710.7640595849541,1086.4257443950999,0,0,0,285.781572635872,338.381875340253,412.14669036762496,1530.51503826197,1297.3490594441698,874.073990193625
OCOAT1,6676.178890144785,7832.2588836185105,4772.804867761486,0,0,0,4272.158254733437,16444.044083539655,3673.35208914017,3688.584757190193,2658.9181007699763,4610.894468887938,0,0,0,17746.91836075967,12924.201174581067,13299.632699171003,12450.616503591325,12789.007241447585,16827.871956121093,6720.836795689845,10594.126938295913,8444.087815687153,0,0,0,7552.74104372405,6300.1094306728555,6326.215085086334,11818.312468308757,9000.942239285445,16690.588934348798,0,0,0,4902.331923423951,5665.3329128936275,5931.204447193612,11573.522062803648,11702.65813197331,11929.460769935067
OCTDPS,6094.038437966479,6734.412427180961,5717.12795548917,0,0,0,3570.91237922684,4611.38267287484,3381.3282828905394,2565.50398967994,2580.47429693656,2683.3136088769893,0,0,0,5925.77873920599,6586.406065683879,6485.03344494531,6444.14783258673,6979.572079965898,5748.47230888184,7108.49849082271,5952.28782193521,6679.63931252579,0,0,0,4878.045171584,6039.22617940272,4813.15649663293,6299.62451994014,6693.28687552381,5587.3323997462085,0,0,0,2977.65961165763,2100.78747607074,1756.9713582453799,2781.61414181889,3037.62349800214,3693.37490762004
OHEDH,17.8776338480865,12.6286018761988,13.6505144328214,0,0,0,28.7480007528325,16.9887457439552,11.7532801276944,38.2732529928943,26.9650575677348,42.0318547756421,0,0,0,9.505580268216221,8.32668276319075,15.183248666033599,23.239601499937105,13.469201939386599,16.1928797433291,15.725253947188802,24.7254472749905,18.8667203964255,0,0,0,39.1855820531191,20.3400500990281,22.6034103299967,22.938056841887303,14.7429226333124,14.573115283636401,0,0,0,33.802121494565505,25.634990556079803,32.800601655555,20.5285176517999,22.5882122386192,25.5625412226437
OHPBAT,1426.8586515004001,1407.66815580029,1216.35833963891,0,0,0,1958.97090844302,5042.47209612771,1035.1927497084696,380.340451616887,365.253961599317,312.716999530777,0,0,0,5830.722936523829,2697.8452152738,2277.48729990505,1816.5621839117496,1415.10802875681,2587.39085613052,763.700376478692,2130.02456083668,1249.30500711983,0,0,0,1664.8274432282299,986.050254800708,1306.20313634254,1672.39287156306,1286.51398558063,2108.72978154219,0,0,0,362.604576032611,405.0328507860609,691.6648609975722,4565.31423111973,3582.6868802818603,2166.21921909307
OIVD1r,230.17453579411313,195.3223756852081,212.07049208133245,0,0,0,12114.20217438114,355.7018640140628,10812.1136190075,2960.196911169166,2661.369469639766,2539.564665544293,0,0,0,146.3859361305297,134.41645032007898,107.17587293670807,128.78612497881815,122.06464257569161,130.69967221401376,123.06720480408647,115.62782696245549,110.73944580510646,0,0,0,138.82891927390781,125.57770061139074,120.5515217599823,163.6943147352864,102.42451513669648,147.1884643647279,0,0,0,214.0801027989147,219.17916925448233,183.9685918941995,101.50211505612181,81.51398329588653,99.77637057870622
OIVD2,230.17453579411313,195.3223756852081,212.07049208133245,0,0,0,12114.20217438114,355.7018640140628,10812.1136190075,2960.196911169166,2661.369469639766,2539.564665544293,0,0,0,146.3859361305297,134.41645032007898,107.17587293670807,128.78612497881815,122.06464257569161,130.69967221401376,123.06720480408647,115.62782696245549,110.73944580510646,0,0,0,138.82891927390781,125.57770061139074,120.5515217599823,163.6943147352864,102.42451513669648,147.1884643647279,0,0,0,214.0801027989147,219.17916925448233,183.9685918941995,101.50211505612181,81.51398329588653,99.77637057870622
OIVD3,230.17453579411313,195.3223756852081,212.07049208133245,0,0,0,12114.20217438114,355.7018640140628,10812.1136190075,2960.196911169166,2661.369469639766,2539.564665544293,0,0,0,146.3859361305297,134.41645032007898,107.17587293670807,128.78612497881815,122.06464257569161,130.69967221401376,123.06720480408647,115.62782696245549,110.73944580510646,0,0,0,138.82891927390781,125.57770061139074,120.5515217599823,163.6943147352864,102.42451513669648,147.1884643647279,0,0,0,214.0801027989147,219.17916925448233,183.9685918941995,101.50211505612181,81.51398329588653,99.77637057870622
OMCDC,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
OMPDC,1029.0812983804801,1096.16264285406,1077.41560344769,0,0,0,694.058875318385,1427.05464249224,716.045989317996,212.894969772974,281.907420026319,255.553677035904,0,0,0,1425.8370402324301,1388.1769692348,1287.0036075149699,881.168223539283,1423.5262799689199,1148.53782750899,1054.95942784836,994.108424262117,903.1417024549788,0,0,0,859.8436290513,905.574404408901,798.653831659882,1355.43063156607,1346.2616194103698,1203.01066666419,0,0,0,362.604576032611,265.322152255426,292.353188669077,1504.2841545957801,1102.89401495519,888.0921579608812
OP4ENH,46.928788851227026,28.62483091938399,36.56387794505741,0,0,0,74.9501448198848,62.64599993083481,43.39672662533311,65.78215358153702,58.83285287505783,65.5696934500017,0,0,0,38.022321072864855,19.032417744436053,32.1527618810124,41.637619354053996,41.24943093937149,49.73527349736801,36.92016144122597,57.4503039624779,49.2175314689362,0,0,0,82.8495163408804,47.75490023250071,50.00148345726541,42.74819684169911,36.46933493503592,40.80472279418194,0,0,0,68.62854970108751,75.6232221404354,85.56678692753471,58.16413334676649,64.81834816299423,57.721867276937395
OPAH,61.4543663527972,39.5696192120896,44.8516902792704,0,0,0,288.506721840926,464.00511813177695,141.943460003694,1428.07075229737,940.5085230443268,669.987765123735,0,0,0,134.97923980866994,89.2144581770438,83.0613015259488,351.498972686549,145.635745969618,174.651774374478,46.4920551482105,85.0846273874673,82.8495113060426,0,0,0,63.8165193436512,24.761800120555897,67.1252791618083,55.2598642100013,48.108484382387715,85.25272440927309,0,0,0,138.281406114131,288.39364375589804,536.218531412551,229.235113778432,180.70569790895303,98.12717437079372
OPHHX,788.850593546816,756.874205780182,1117.8796283735498,0,0,0,1242.32431824741,1041.62247342625,1361.57229786983,845.599683311758,987.084531570415,775.908039158353,0,0,0,986.679231840843,1012.28671878219,1152.14063406961,1589.97606928737,1672.7065158475698,1709.5054471885999,1013.25331955365,913.387111099648,892.477903970043,0,0,0,1303.20050028088,1177.06985573071,1295.92885891981,1099.98408946323,1190.2970168158502,959.639641427459,0,0,0,841.9801172282671,799.8117053496892,757.266064308682,1634.29809972385,1423.05737103301,1556.0166221654401
