,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
GALTpts,4.26130191057418,3.6591711452789104,3.7065817889727497,1.19535409714678,1.95664048357681,1.03650372395683,6.26073646843334,4.64835706005176,6.24735293354946,3.72863744002925,2.57933755351387,3.64233540718933,0.6533767016862321,0.928905336785703,0.407246672738505,1.2706542599313,1.4410197065411,1.7682753071757,2.5609218177220403,3.19919156161514,3.075989812167589,0.24503946527628,0.522405689025611,0.443377988884508
GALUi,56.6441351527544,57.2294367121622,55.76720782499911,74.5900956619591,66.7121231543333,79.3396486883322,85.483132549763,89.2916960837849,94.46428487453241,49.6149336778086,52.5079430536753,54.2914145599918,88.72855608899029,75.3842407929936,98.0106992390668,116.05308907372499,116.00208637655899,111.32446281697399,43.47164785583161,51.82690329816529,46.1398471825138,100.711220228551,102.304447434182,111.842097696117
GALURt2r,31.076323689309255,32.56662319298229,37.0658178897275,32.63316685210708,37.54886261340265,29.399014715866567,34.91564568933977,27.56583837937669,31.88304255742485,31.03188579121117,33.623507394020145,33.46825176040001,29.00992555486873,29.510608007115046,31.4937426917777,26.00605718659396,27.688164361396908,25.447788116311173,30.41094658544925,36.470783802412505,29.905456507184873,80.86302354117254,62.6886826830733,71.93807869651138
GALURt2rpp,2.80622320940251,2.12231926426177,4.04354376978846,0.717212458288068,0.3726934254432029,0.659593278881621,2.64877312126026,1.72962123164717,1.29255577935506,2.52585116905208,2.3029799584945296,2.7489323827844,0.32668835084311604,0.571634053406586,0.27149778182567,0.25413085198626,0.5146498951932511,0.615052280756765,2.2408065905067898,1.06639718720505,2.39243652057479,0.0,0.261202844512805,0.221688994442254
GAMpts,64.75100220213938,57.66853724959571,63.34885239335245,35.741087504688686,36.989822475237915,26.28950354399603,121.84356357797233,99.56132214668997,101.68105464259817,50.27646612684605,58.40357174742127,48.72482648485343,13.590235395073636,17.6492013989284,11.810153509416605,21.262281282850402,29.232114046976697,25.294025046121998,57.81281003507504,53.31985936025234,55.02603997322019,7.84126288884097,10.09984332116181,7.648270308257769
GAPD,349.11495408826056,308.2485772782954,331.233627141838,1433.4686332984218,1084.6310413960796,1083.711757202502,1209.5261261900266,1025.989694347702,956.5989897043582,232.6790041205355,299.66375219930785,235.7209518237617,1270.0989704078643,1088.3197834294651,1693.60316302853,1336.8129917317262,1744.045564830891,1311.4452256436082,286.183013130438,269.79848836287715,286.7506058231781,1158.3015523609804,1097.922623102161,1259.636866420887
GARFT,0.831473543526669,2.63460322460082,1.5163289136706697,4.542345569157759,2.79520069082402,6.784388011353822,6.74233158138976,4.75645838702971,3.66224137483934,2.22515460130778,2.21086076015475,1.3744661913922,5.74971497483884,5.7163405340658615,8.82367790933427,3.98138334778474,3.1908293501981606,2.9983798686892302,2.8810370449373,1.91951493696908,1.87977155188019,3.9206314444204895,5.2240568902561115,4.1012463971817015
GART,27.4386269363801,23.6382455985018,21.5655667722051,20.081948832065894,18.5414979157993,20.730074479136697,14.4478533886923,22.2688733574573,21.4348833409714,25.258511690520802,22.9376803866055,29.344853186223396,24.1749379623906,17.0775673455218,20.090835855099602,19.652785886937398,17.8068863736865,18.835976098175895,25.6732412226635,24.7404147431571,29.3927915384903,22.298591340141506,21.8539713242381,24.3857893886479
GBBTNabc,313.049789137791,282.341645569721,309.162617398409,72.07985205795079,72.1161778232597,53.1443727556049,84.2791447673719,92.6428372201013,80.3538842832397,285.361042789336,272.120111895714,271.457072799959,46.651096500396996,52.9476041967851,53.6208119105698,73.020264804052,66.6986264170453,72.96057680477129,319.090858488166,322.691788848247,323.662483569189,150.699271144912,117.367144801087,163.939011390047
GCALDD,1381.8050951483838,921.5256612270418,1543.4543531263369,50.20487208016472,82.92428716111264,51.730958586572854,106.67331751984504,101.18284205135922,99.20365606550094,1157.3209499342406,1296.7619550291004,1474.8022233638292,58.54255247108641,65.73791614175742,57.9647764197805,60.4831427727298,57.94957819876007,50.12676088167635,1187.9476081958119,1414.6825085462156,1214.3324225146034,110.2677593743262,97.34159338843884,106.8540953211666
GCCa,126.695781194876,122.655416789749,103.784290091237,188.507341120047,251.19536874871898,175.922950238855,295.940196911715,321.709549086373,280.053752193597,134.77220166299298,120.768269023453,120.540684985096,176.150358774608,179.778909796371,176.066311513947,480.64615139001296,494.372689322637,468.516074866466,115.049412661163,82.32586285222959,99.62789224965022,663.811911433443,627.844570593947,796.528557031019
GCCb,50.3041493833635,50.057461267415505,49.364930189500704,58.2137445310482,56.6494006673668,55.87697348240021,81.8711692025899,89.7241013916967,78.1996246509812,52.3813421010561,47.994102335026,45.7010008637906,65.66435851946629,56.2345000038729,64.0734765108581,105.379593290302,104.370998745191,102.098678605623,43.279578719502496,40.9496519886738,43.91829898483721,90.66460215222372,104.91647587931,102.752848923985
GCCc,362.62639917056873,374.8454921223714,331.9075511034688,314.0195213204587,314.3669043613416,341.4808632381426,323.1503207937523,375.11160461347913,367.3012673000637,400.1669923541072,376.3990444163461,395.6400931922443,339.03717050498597,306.25294411257875,276.11324411670654,418.5535132213703,318.46535514558377,396.01678727226215,391.5649459297002,359.5891315255413,373.39098553256554,463.8597077679983,425.064095637172,496.47250305342766
