Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours,Biomass Conc
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,0.86722,38,0.31913696
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,1.09,43,0.40112
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,1.08842,48,0.40053856
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,1.07835,52,0.3968328
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,0.05,0,0.0184
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,0.11277,14,0.04149936
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,0.2846,20,0.1047328
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,0.39579,24,0.14565072
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,0.5921,28,0.2178928
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,0.80363,34,0.29573584
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,0.91285,38,0.3359288
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,1.04853,43,0.38585904
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,1.05248,48,0.38731264
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14980,PVHG-P-R3,,Optical Density,0,,1.03747,52,0.38178896
