Line Name,Measurement Type,Time,Value,Units
PVHG6-P-R2,"Pd630_LPD00346	",21,20.63002553,RPKM
PVHG6-P-R2,"Pd630_LPD00347	",21,36.82854751,RPKM
PVHG6-P-R2,"Pd630_LPD00348	",21,24.83373116,RPKM
PVHG6-P-R2,"Pd630_LPD00349	",21,110.950941,RPKM
PVHG6-P-R2,"Pd630_LPD00350	",21,3.349311018,RPKM
PVHG6-P-R2,"Pd630_LPD00351	",21,1.937118855,RPKM
PVHG6-P-R2,"Pd630_LPD00352	",21,0.650760737,RPKM
PVHG6-P-R2,"Pd630_LPD00353	",21,1.810984439,RPKM
PVHG6-P-R2,"Pd630_LPD00354	",21,1.738007335,RPKM
PVHG6-P-R2,"Pd630_LPD00355	",21,0.977256696,RPKM
PVHG6-P-R2,"Pd630_LPD00356	",21,0.884803734,RPKM
PVHG6-P-R2,"Pd630_LPD00357	",21,10.99825086,RPKM
PVHG6-P-R2,"Pd630_LPD00358	",21,1.781457518,RPKM
PVHG6-P-R2,"Pd630_LPD00359	",21,3.948822711,RPKM
PVHG6-P-R2,"Pd630_LPD00361	",21,0.657137067,RPKM
PVHG6-P-R2,"Pd630_LPD00362	",21,4.089083924,RPKM
PVHG6-P-R2,"Pd630_LPD00363	",21,2.844149097,RPKM
PVHG6-P-R2,"Pd630_LPD00364	",21,3.286665163,RPKM
PVHG6-P-R2,"Pd630_LPD00365	",21,0.735569556,RPKM
PVHG6-P-R2,"Pd630_LPD00366	",21,0.109208124,RPKM
PVHG6-P-R2,"Pd630_LPD00367	",21,4.047808799,RPKM
PVHG6-P-R2,"Pd630_LPD00368	",21,1.026119531,RPKM
PVHG6-P-R2,"Pd630_LPD00369	",21,0.218416247,RPKM
PVHG6-P-R2,"Pd630_LPD00370	",21,0.103648437,RPKM
PVHG6-P-R2,"Pd630_LPD00371	",21,0.226816872,RPKM
PVHG6-P-R2,"Pd630_LPD00372	",21,0.893054422,RPKM
PVHG6-P-R2,"Pd630_LPD00373	",21,17.10199218,RPKM
PVHG6-P-R2,"Pd630_LPD00374	",21,3.207769165,RPKM
