,fluxes
ACPPAT141,2.0283660439650528e-08
ACPPAT160,2.1732954761494566e-08
ACPPAT161,1.8900771994065705e-08
ACPPAT180,1.6822790251671462e-08
ACPPAT181,1.4533997941334103e-08
ACPS1,-1.4378805004885507e-08
ACPS1_1,1.5741740199110072e-08
ACPpds,1.3629450094065608e-09
ACS,106.2894409398945
ACS2,129.5006554535852
ACSPHAC100,-1.2660754776075941e-08
ACSPHAC101,-1.2660743825147243e-08
ACSPHAC120,-1.2660735030437752e-08
ACSPHAC121,-5.367615997258392e-09
ACSPHAC121d6,-1.2660745284250193e-08
ACSPHAC140,-1.2660741572559481e-08
ACSPHAC141,-1.2660730902408214e-08
ACSPHAC141d5,-1.2660736385956283e-08
ACSPHAC142,-1.2660735101518707e-08
ACSPHAC160,-1.2660736542434394e-08
ACSPHAC40,-9.93945114193115e-09
ACSPHAC50,-1.266072676983829e-08
ACSPHAC60,-1.2660740268966847e-08
ACSPHAC70,-1.2660742081334432e-08
ACSPHAC80,-1.2660735607957183e-08
ACSPHAC90,-1.2660748046698244e-08
ACSPHACP100,-1.266073896799438e-08
ACSPHACP40,-1.2660725598972857e-08
ACSPHACP50,-1.2660726680044561e-08
ACSPHACP60,-1.2660739601283149e-08
ACSPHACP70,-1.2660732413318353e-08
ACSPHACP80,-1.2660743049620359e-08
ACSPHACP90,-1.2660729024816722e-08
ACSPHACT40,-1.266072705984704e-08
ACSPHACT60,-1.266073146294093e-08
ACTD,0.36032876785829354
ACTD2,3.060791467991429e-09
ACTD_1,7.3105274676534755
ACTDa,6.9501986999022245
ACTNabc,-1.2617079276785555e-08
ACTNabc1,-1.578490622830504e-08
ACYP_2,-1.4951861922702565e-08
ACYSBMNt,-1.3556891542553326e-08
ACt2rpp,-1.0021823979998118e-08
ACt4pp,-6.830778852474147e-09
ACt5pp,-1.5362805488201588e-08
ACtex,-3.221540795057399e-08
ADA,5.665080980567811e-08
ADADir,-6.922967006873005e-09
ADCL,-1.4806803982717516e-08
ADCPS1,-1.4637947683365457e-08
ADCPS2,-6.74887343058478e-09
ADCS,-1.4806804171234573e-08
ADD,-1.2402358722623589e-09
ADK1,-23.331659616426418
ADK2,23.331658231830016
ADK4,1.4331052707220975e-08
