,fluxes
AALDCDLsi,-2.3353004571204555e-08
AALDH,-1.9385000599728703e-08
AASAD3,1.8362341496157252e-07
AATA,-1.8362341505015798e-07
ABG4t2,0.0
ABTA,3.5053070541120155e-08
ABTt,1.391509276410262e-14
ABUTD,2.0447882148473284
ABUTt2pp,4.4940372131779537e-08
ABUTt2r,4.562024552159174e-09
ACACCT,7.4261629948373256e-09
ACACT1r,60.48025782001397
ACACT2r,1.234458014207461e-07
ACACT3r,1.0163236010769206e-07
ACACT4r,8.659661912814581e-08
ACACT5r,7.735496654802631e-08
ACACT6r,0.3501613841169879
ACACT7r,2.6114745623149456
ACACT8r,-0.35016134751790284
ACAC_Et,-60.48025762938221
ACACt2pp,-4.811619737110974e-09
ACACtex,-4.811619736606301e-09
ACALD,-25.064863608530104
ACALDt,-25.06486338098726
ACCOAC,2.4259208009304514e-08
ACCOAL,2.7977183906030363
ACGAMK,1.8278941880331734e-08
ACGAMPM,1.638986600926553e-09
ACGApts,8.90249524579149e-09
ACGAptspp,1.0359953052045431e-08
ACGAtex,1.035995369893844e-08
ACGK,-2.090570181742923e-08
ACGS,-1.1507702965281397e-08
ACHBS,-2.7093768120528696e-09
ACKr,4.986491766712462
ACLS,-1.8136279402364487e-08
ACLS_a,-1.5648451862033752e-08
ACLS_d,-9.564738465216775e-08
ACLSb,2.332164985097853e-07
ACM6PH,1.8278942108840027e-08
ACMANApts,0.0
ACNAMt2pp,2.3579436199376665e-08
ACNAMtex,2.3579436416058662e-08
ACNML,2.3579434874278693e-08
ACOAD1,0.3849861771348683
ACOAD10f,-5.577746956207169e-15
ACOAD14f,-3.4886281932069507e-15
ACOAD15f,2.2360990959496047e-15
ACOAD16f,4.15107289790205e-14
ACOAD17f,3.348010399352547e-14
ACOAD18f,3.848160692416904e-14
ACOAD1f,13.232858101955193
ACOAD1fr,12.847871905794923
ACOAD2,-12.33920609005625
ACOAD20,-2.225039418728844e-08
ACOAD22f,-1.2352979259325585e-08
ACOAD23f,2.2613131892276486
ACOAD26f,0.3501613299721488
ACOAD27f,0.3501613299721194
ACOAD28f,0.3501613299721986
