Metabolite,Tags,In 1-A,In 1-B,In 1-C,In 1-D,In 1-E,In 1-F,In 1-G,In 1-H,In 1-I,In 1-J,In 1-K,In 1-L,In 4-A,In 4-B,In 4-C,In 4-D,In 4-E,In 4-F,In 4-G,In 4-H,In 4-I,In 4-J,In 4-K,In 4-L
L-malic acid,High Confidence,40436.38758,24528.13192,32616.21585,54159.01614,123540.0407,143057.368,67378.71368,37799.1459,63755.73258,151197.1989,143216.414,153795.2588,94673.14638,112390.3686,56744.67141,48153.71613,180115.4441,77362.13319,32602.95187,48212.97307,49188.08806,97888.89408,102323.1403,56175.69508
L-ornithine,High Confidence,2713743.493,3059466.163,3453044.142,837797.4772,727742.6953,753803.504,797072.4243,1009492.153,829215.8631,1728154.374,2043527.473,1354260.248,580133.1999,675668.2337,472701.0261,1623302.231,1290416.829,1818487.925,1853419.7,1091359.365,1299934.578,1393560.967,1525463.658,1041381.231
L-phenylalanine,High Confidence,630873.0892,10431301.14,10340784.99,194290.4196,131899.7445,9601237.31,654766.3417,383049.23,527482.0721,385105.9878,584940.1539,391588.8171,7924928.072,10607031.77,71292.99552,611136.4886,681177.5747,9298766.489,214653.822,206652.2724,242538.6812,1163186.259,1111193.937,769558.1571
L-proline,High Confidence,244053.8395,87262.37762,369783.7355,328879.9219,170375.5545,12849.17321,299959.224,258973.91,176281.8212,3098491.047,1087173.475,1954546.481,96972.69278,18786.57677,76122.9981,1528285.323,113296.3235,481594.4665,14791.45692,76332.07757,3173.130663,400834.9447,644075.9628,836435.4077
L-pyroglutamic acid,High Confidence,61181040.9,68280974.54,72158448.05,45083991.83,44679007.27,44943434.28,51969060.82,51093890.56,45780027.45,30120009.47,26195884.96,15668733.82,55293780.85,70357244.83,50328117.59,52007535.98,45284616.06,57445668.86,55965813.87,40194243.28,34745416.69,24309077.07,19399981.43,33742.05247
L-serine,High Confidence,1619516.315,857792.8519,2230830.935,1809433.025,1038813.942,1848037.849,826457.8399,1081902.751,666668.91,1898937.744,5123530.646,2936306.869,794203.4544,883035.348,684498.4909,1512110.315,874012.2859,1391527.273,815362.7218,496170.8529,567399.3189,2644569.681,2764752.955,2428895.084
L-threonine,High Confidence,3594054.614,3111216.745,4389064.205,3393411.358,1857196.441,3531632.148,4508997.64,3879108.812,5179265.97,3208841.639,10212636.78,5821371.549,986307.2574,1108327.349,801987.0165,1821969.564,1449417.063,1859422.282,4609597.221,3048070.309,3422106.752,7960952.685,9935818.353,7335381.467
L-tyrosine,High Confidence,1479558.603,1792603.22,1839140.62,1282346.679,2234590.398,1192128.211,1719719.251,992468.3884,1140652.638,4580951.414,4693346.52,3805898.854,670459.15,762091.9823,537057.5404,4003796.885,3399061.638,4948174.649,1079260.814,921329.2887,724056.0881,3149008.665,3570317.422,2332821.929
L-valine,High Confidence,2048266.912,1931687.661,3089771.618,1598031.101,952840.9007,1052846.619,1987432.118,902912.604,1095421.676,1933046.791,4726271.278,3196372.858,424195.5196,421615.6935,395899.6961,1200947.035,896281.0612,731761.1853,731552.1005,302177.363,0,3648592.716,4195611.315,2413122.474
Maleamic acid,High Confidence,258836.2328,573121.9258,769993.8689,1051553.294,356065.1369,759362.2776,543938.5891,992494.2861,816257.0365,433757.5963,859150.8834,372096.4382,1135411.295,1058120.127,601364.8979,753247.0036,699055.0147,870835.9013,912414.1968,576817.1635,417079.8696,899934.184,920453.3809,704228.7089
Methyl phosphate,High Confidence,21714,195139.6662,392.4590376,161262.6159,284211.2381,239752.1731,325831.8473,27725.91666,80758.90508,83952.64264,142474.0689,458710.6838,0,55580.01551,39865.71505,0,0,136475.79,0,214607.1021,19304.90869,454417.0054,205633.6033,141200.1422
Myo-inositol,High Confidence,822788.2659,923446.6062,1082944.909,1162029.493,1130986.636,1114647.484,204121.5631,0,137029.7444,596182.9865,185027.8792,365924.2975,1616662.095,1679600.671,1337135.11,786740.0152,600493.8931,923319.8943,260607.2427,157456.5396,144713.086,160380.1277,194589.184,105507.5412
Myristic acid,High Confidence,281234.1695,238410.4301,356655.8231,270596.9672,353272.9494,347055.6601,269248.2551,275958.2032,231810.6534,312556.3288,330142.5996,357243.0478,191684.394,173285.0251,120507.9408,155153.2591,109540.9321,176244.2074,208161.2046,154980.6716,120487.198,328187.0914,297447.1002,253386.7611
"N,N-dimethyl-L-histidine",High Confidence,504005.8009,666324.6325,893205.0312,818198.2671,381870.2233,593480.7043,212734.8811,244577.9325,238172.4276,164667.4551,271708.4024,125814.8444,0,11025.65674,0,318603.6632,278854.3246,383175.882,0,0,0,169188.31,170627.1679,145280.3087
N-ethylglycine,High Confidence,105110.9129,112048.1036,115914.2815,279198.2554,347908.2406,175308.3584,118358.5777,34555.71717,128196.3672,266478.5145,186434.8455,306895.2906,16793.3162,73499,32520.71419,51765.74474,105906.4467,17351.00481,17544.42555,88852.58534,85431.02529,173526.668,260210.408,119557.914
N-methylalanine,High Confidence,170421.4069,368031.2002,307559.2181,659139.8008,833349.9707,545598.8488,511964.9705,219817.9471,231558.1527,718192.2575,626931.3929,552403.8415,296418.3871,112977.2923,99845.53063,484226.2734,296652.8261,307406.1161,72224,94102.77174,253701.7414,314822.5795,396975.298,286762.4857
Norvaline,High Confidence,0,61375.727,84799.81032,4624400.569,3306975.474,2439050.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleic acid,High Confidence,171851.735,147351.5454,181452.6788,97967.82883,42171.56527,61475.48263,203067.1066,197483.1539,210472.3642,211745.044,142121.013,163027.0461,676174.1034,499137.2031,459518.3358,252012.5033,203678.6162,253398.9091,341426.855,238125.5371,218354.0555,155080.7242,162887.9426,132874.3178
Oxalic acid,High Confidence,155239.0217,204315.0496,189614.01,241865.9599,250631.6877,284192.781,180256.5839,203515.0413,172076.6647,203540.4464,236513.168,231871.0625,165991.8704,188193.3247,150452.9692,180825.0147,186205.9967,158796.043,8205.65046,188470.4795,154502.7134,255888.01,262638.9726,216436.8611
Palmitic acid,High Confidence,2935389.252,2204504.144,2447984.193,2285366.79,2235888.515,2655466.125,3256066.231,2677520.686,2657982.853,2974569.612,2531607.993,2318922.138,3359067.804,2831555.448,2589374.624,1737325.831,1543914.838,2206717.728,2145805.358,1700726.226,1283536.841,1751919.372,1867107.978,1450895.401
Palmitoleic acid,High Confidence,296828.6574,298423.1075,410636.8949,252458.0528,113847.1702,351898.9702,341738.5568,337775.9592,341880.7129,153024.4271,461121.2558,356085.2231,549382.5808,206904.5533,209981.2005,224792.3804,214442.3942,194005.6803,208378.708,161303.3061,154934.6746,704151.7261,687641.8769,580828.6048
Phosphate Ion,High Confidence,110601592.8,130003131.9,141926337.1,117263225.7,102447134.5,111538320.5,88014315.64,117473269.8,98519682.25,83796156.86,105150428.5,95124254.37,167604797.7,175979046.4,139822433.7,149232967.9,144776807,170750164,179953315.5,162359956.2,145351201.8,157227390.9,148072204.8,141087523.1
Putrescine,High Confidence,0,0,0,0,1134363.489,1710003.801,0,0,0,515964.1623,0,382386.6244,0,0,0,0,0,0,0,0,0,0,0,0
Pyrophosphate,High Confidence,2125626.483,3499407.438,2581333.592,3687845.057,5387498.528,5802249.967,4392196.118,4377464.799,4637530.547,5159580.503,3987438.581,4998994.366,605576.494,1096878.472,1095695.304,874562.943,443205.7626,696836.3993,182833.7523,199377.8511,257301.3594,1639744.557,1999362.416,1998629.132
Scyllo-inositol,High Confidence,660655.9488,769514.7106,929752.1524,557903.3325,445174.8589,529896.0772,291458.2868,309778.4289,341480.2825,187909.3971,186643.6647,182030.3234,510011.2229,533600.111,406724.125,355992.1375,306258.0055,380619.9247,207067.6474,185366.228,127180.3877,310852.5003,336321.9563,272696.2274
Sedoheptulose anhydride monohydrate,High Confidence,207545.671,227438.9549,287084.7961,147984.9897,117583.5967,123273.3315,214783.0903,196290.9319,224173.1078,116910.4933,203151.5376,107820.8775,278137.4091,274752.6767,288342.9502,255866.5226,175504.1228,237514.4584,190651.0583,140190.1248,142040.9949,142573.9348,149145.3816,56247.6186
Sedoheptulose-7-phosphate,High Confidence,76978.7043,110026.0371,152515.4778,171422.4555,151294.6051,160372.2817,134583.0519,174585.479,117617.7227,93791.90353,250648.1423,137506.8101,788596.2096,646963.191,585774.5956,258374.0886,130463.3042,249474.4501,207465.4744,137204.8153,118220.3836,259195.6291,212391.0443,297486.1441
Stearic acid,High Confidence,1601823.49,1730019.036,1910756.883,1591377.409,1183758.311,1949812.691,1639480.962,1978766.227,2081752.004,1853429.066,1439418.42,1520568.131,1961440.29,1445947.585,1861037.262,1731038.325,1582726.51,1515029.976,1702311.779,1494226.425,1265343.644,1986981.648,2295521.782,1308643.595
Succinic acid,High Confidence,534353.5089,628818.5193,770885.8474,420150.0547,134013.5243,360624.7284,188251.5481,789926.7672,331844.1742,226989.2975,328960.6123,272645.1641,751913.8733,785084.3825,495623.4859,551083.9204,450453.7638,746674.3245,547116.4282,463461.6626,378205.1453,364189.5404,385369.6765,286463.0156
Thymine,High Confidence,426149.2706,506746.5995,492652.2632,254280.1055,313387.961,434601.2863,846001.2611,708502.1849,740462.8979,591422.1391,504061.7053,756681.5155,249671.1236,232832.9221,191119.8768,308267.8777,251295.0556,168084.1562,260946.4624,209088.6659,184236.1998,393573.1042,331498.9694,241379.9498
