Metabolite,Tags,In 1-A,In 1-B,In 1-C,In 1-D,In 1-E,In 1-F,In 1-G,In 1-H,In 1-I,In 1-J,In 1-K,In 1-L,In 4-A,In 4-B,In 4-C,In 4-D,In 4-E,In 4-F,In 4-G,In 4-H,In 4-I,In 4-J,In 4-K,In 4-L
Unknown 096,,133435.464,146735.0837,122723.8207,359668.1297,82840.51265,197681.8586,287213.6531,557804.7702,387281.0391,173936.4059,535062.576,133923.0634,56420.76769,79017.87739,56265.97356,106051.8601,70127.95531,106377.4154,0,38614.06352,34445.26081,422120.0717,577734.1252,374626.1741
Unknown 097,,116427.6156,152132.1683,181707.0828,74189.79661,236285.8724,259654.9662,87101.51814,96671.69038,80876.48974,34130.15947,28822.13901,15361.48214,634036.5396,507206.4752,410647.1818,447066.8073,365532.2939,461253.7449,454804.724,375186.2192,305313.6009,176517.2059,92031.16355,65956.29979
Unknown 098,,26935.5527,29087.37945,19530.64651,229339.2115,217374.5906,293515.8057,19589.87002,24493.44963,535304,151866.849,183473.4426,154151.7617,29089.84514,174128.2053,141780.2961,163932.9441,35425.7765,219212.4765,46999.16215,22067.75864,22586.38439,28500.99682,217486.9871,33686.27092
Unknown 099,,926169.4952,1083207.089,1180192.562,915710.8579,737632.7163,906133.9336,1628916.103,1604046.078,1538196.355,1534138.337,1314443.863,1197289.8,1533279.993,1908516.781,1391732.27,1047360.803,912762.3621,1394920.616,947742.4074,696254.6372,603900.7969,1176614.392,1088571.755,879629.4044
Unknown 100,,2298964.276,2312029.074,2748133.327,1436736.193,1247228.714,1345317.374,1543663.418,1451926.965,1620485.518,783500.8357,527077.6133,590935.5543,1975302.661,1959322.452,2031167.36,2158690.748,1356521.982,1786506.364,1356495.929,928848.203,928019.3787,468870.3178,422833.4897,349447.1756
Unknown 101,,1171406.355,521125.5076,513436.5166,624576.4451,560903.884,771380.97,759298.9224,1029350.892,776310.0874,760448.805,1053152.857,1014285.018,837257.8293,1113277.143,737472.0046,1311590.667,1193629.359,1669047.033,1645376.379,1410415.054,1425909.577,2389346.657,2053392.729,2324839.557
Unknown 102,,17414.37296,28105.50554,39715.80318,27846.8108,29055.55894,3777.404507,22439.41898,23137.34815,18074.91999,34450.75068,69666.25033,28490.00776,0,8898.440161,22093.31849,11109.48499,734.9024776,0,6632.96563,9413.843638,8602.49247,25961.60401,45910.62254,53252.02089
Unknown 103,,66924.83321,71814.93519,89121.5026,99548.11533,40975.35749,52284.23865,59812.90565,1194511.03,74494.73048,765036.9115,207103.8447,78144.34083,358698.1227,312582.7889,184298.0518,363235.8112,329623.4406,403864.566,579672.5779,320341.8176,292023.604,244098.9645,288894.382,255359.081
Unknown 104,,351056.1831,453093.0485,561208.8654,426832.0696,475288.9556,521742.1702,329126.0492,389559.0634,423543.7915,501371.6853,728723.6465,516960.8962,454144.1892,467050.2314,277623.0418,538078.1803,479898.404,592304.2217,359879.8802,311607.6726,286818.3033,737933.5861,679323.3174,653388.4929
Unknown 105,,130378.6704,139106.6592,144737.6,438458.5458,42786.89072,136676.7853,123861.628,241651.4555,164411.5122,72476.79113,253181.624,24561.08883,134574.5982,144250.2035,106802.683,181326.5651,123777.9279,148270.913,55697.11062,48846.3253,31085.42004,239717.4684,357582.6172,208308.821
Unknown 106,,121377.8307,260846.4742,229205.7966,315362.2232,50719.6575,94704.2858,0,169463.2594,110177.7884,0,0,54662.04979,213714.038,254373.2635,141958.3038,0,0,468127.8456,168082.5973,108076.3482,97032.56308,0,118376.3141,103727.62
Unknown 107,,97101.28032,98477.91095,166188.0056,85041.31935,66739.89243,61479.79365,147870.6174,128628.7099,144884.7985,118215.1674,103932.7009,117954.0375,180714.7839,188256.0095,122219.7265,120307.9582,124986.7098,133745.4129,115912.9998,93390.80413,96225.20874,124405.3396,99010.6905,53570.70905
Unknown 108,,138879.0874,139945.3977,216441.2827,91608.29775,58862.40189,70510.46296,195333.5329,171850.5651,189136.6639,123949.151,56708.43028,135571.0798,229346.8083,237566.7658,157424.1766,138032.6742,153428.7712,151082.7359,152830.2032,119483.993,126187.1803,93784.7939,77786.36977,78423.99934
Unknown 109,,0,0,0,1525573.725,2645339.099,1349929.703,2102528.874,1248192.288,1287247.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 110,,271259.1224,338517.0058,337884.243,276260.3325,290425.1347,314290.9146,296671,251039,2557039.066,2075580.257,1347916.44,303686.9555,249011.1728,265667.8763,196637.2086,110082.2457,84906.26261,125742.2152,181279.56,108072.7831,62412.42485,1552295.366,1980547.484,1772084.269
Unknown 111,,8303.67229,9453.218643,11511.64001,0,16454.07188,0,179355.9287,47459.40202,3335888.201,27954.96411,1656181.472,250355.2068,0,0,0,0,0,0,0,0,0,1909002.688,2519819.9,2246108.424
Unknown 112,,280748.8035,376003.1644,391457.0263,281769.0574,293090.772,296649.3184,255775.0012,133230.6972,2611236.903,233517.5341,223983.8553,238231.5383,41551.34753,88132.38252,10545.79307,80720.83635,105595.8287,117713.4647,126080.3491,91088.35396,99259.33644,260369.8499,363008.8593,271737.5722
Unknown 113,,89636.60906,124813.0775,129761.0462,398606.2247,381987.9706,400532.8237,71294.37978,75633.2623,56534.90302,60167.17263,68615.20573,60521.70626,15331.08911,26569.68368,12736.51618,26039.24488,25904.25115,33223.23092,35922.0269,25786.1986,24584.36409,33411.99399,21410.64917,25543.53315
Unknown 114,,158968.9411,189630.3402,215351.6703,258476.3822,226223.3603,208763.7053,13824.07195,25338.00426,0,63031.03322,40883.81376,30965.15507,78414.45503,110651.9129,60730.84541,33283.29253,11396.06494,45110.78059,28367.7098,9023.610168,2304.869247,751.7288716,24410.81642,28799.77579
Unknown 115,,54188.13335,52648.15203,56310.98898,58075.95372,47951.10427,65120.74812,28070.63627,30302.70674,0,51232.1402,46856.63323,41133.52492,17442.50011,71677.97089,14431.82203,33283.29253,11765.85529,23732.39338,38886.3533,13162.41807,2304.869247,24675.25642,34099.96211,16998.13472
Unknown 116,,172049.0988,203358.0076,261684.804,248359.7845,104603.8838,203664.105,172056.044,261700.0568,232952.4064,229024.6825,407230.5914,247307.938,315498.4702,331813.036,198988.2261,641129.7386,458531.7548,733229.0974,592328.728,435372.0002,385472.9537,803188.9546,678819.6794,656678.1207
Unknown 117,,548934.415,592065.0735,628723.5393,695677.893,424746.2246,631035.2822,924806.8045,1023789.68,1000741.286,594892.4918,971152.645,786426.8859,452427.9927,429414.9793,356875.4418,397922.3284,348136.4031,363120.5822,376187.1321,308813.6489,263713.6402,946840.888,891766.4754,733657.0277
Unknown 118,,102705.0277,83171.25419,173782.1465,57344.59098,30704.3185,131596.1743,50086.07743,118956.9446,88295.71676,87594.73924,156706.294,93401.37534,156807.4852,145660.9484,91877.91001,254626.6775,189950.2339,279989.5268,251736.8612,185525.823,159754.3045,289929.457,278513.9958,252560.1744
Unknown 119,,96098.49661,93653.36822,150518.8083,115794.0741,126589.3891,34536.33017,28625.85316,57476.84312,48835.69824,76959.41744,226055.7815,54257.19136,222950.5079,150772.957,88270.33698,518009.763,369258.4272,629886.9054,467496.132,347863.6234,237892.2561,417496.8743,398865.4666,353253.4123
Unknown 120,,0,0,0,0,0,0,97959.07341,0,0,0,269114.3858,251570.9227,0,0,0,0,0,0,0,0,0,366272.6979,254310.4919,318676.9576
Unknown 121,,245009.0379,181384.7645,172850.9337,151923.7232,170775.4843,142149.0565,291458.2868,309778.4289,341480.2825,187909.3971,186643.6647,170749.486,474766.9378,498068.8453,356066.8969,355992.1375,306258.0055,420516.3372,207067.6474,185366.228,127180.3877,374470.297,336321.9563,272696.2274
Unknown 122,,2906.982439,8825.669768,6280.584794,12962.05329,16948.94725,0,196596.9714,238214.9062,208469.6716,148670.3345,252730.6164,149902.4537,14288.69192,34907.27443,7323.110275,141500.6056,104256.6858,162844.6502,52793.20126,41531.78308,31440.57695,255369.6049,233750.0518,189527.9639
Unknown 123,,162931.5385,155955.0954,211594.1745,292408.2053,175344.2052,224760.9254,181619.722,137357.5947,160115.2896,222864.4493,135302.1312,150794.5675,139710.8298,190211.3441,145004.5122,178787.1561,149049.098,279266.9512,93855.15012,64532.31244,43459.14088,94600.77358,121524.5299,82286.05124
Unknown 124,,68366.72484,94620.54646,92713.26554,263747.3366,278751.9153,246621.2844,189854.4016,137939.887,145998.4952,159073.8235,125680.3167,146778.6064,71927.97588,110816.5362,57136.61089,37603.3812,32373.78427,42385.17555,13281.68568,4902.776022,3499.995468,105411.2773,126506.1388,95176.5098
Unknown 125,,389382.582,562086.1814,656059.6763,209440,15577.11534,159136.6035,97944.26761,33460.30928,39080.24321,46486.58002,44131.63309,100124.1753,263506,281374,119326,47987.05828,124827.9153,66182.00529,104292.9642,46503.24482,19055.90135,127886.5671,144127.5319,103170.229
Unknown 126,,0,197895.6733,0,219609.8486,0,0,0,0,0,0,0,0,257532.3297,295671.9442,194525.221,0,0,164413.0419,0,0,0,0,0,0
Unknown 127,,148197.7598,367308.8355,300011.802,235701.3708,15577.11534,181847.1234,127385.7678,267533.6685,147242.2959,166252.1041,78979.46914,120165.1205,154188.5048,165559.5666,116102.3249,178913.4025,161618.4693,127221.8107,143611.4819,89056.49069,20806.40425,174540.043,299614.2983,63650.46308
Unknown 128,,107797.2498,96194.34715,183302.0353,36815.81305,25448.50591,33721.01164,132845.2286,200652.8473,123448.8021,143381.9332,80491.57878,98633.01501,271993.336,200728.6086,183712.422,190191.2382,164535.7249,208772.6494,240006.4601,194857.2513,142594.3123,166244.8119,156433.5161,107671.1507
Unknown 129,,161541.4592,137812.1473,165184.8331,108707.6262,95667.31279,109305.7527,128817.7455,117774.0376,93342.44024,94657.25612,72027.6674,127008.1266,104922.061,98493.78923,114851.5472,80774.16272,82438.79426,81524.80264,128602.9081,75162.6589,79298.26573,95978.22433,100140.9066,74147.23173
Unknown 130,,44406.67454,61469.72986,84475.05515,68968.2512,67046.67685,93812.63711,97132.66671,72219.8632,123119.949,92595.90423,114290.3892,99243.46058,68466.55763,69021.55122,24388.10092,54352.50324,0,62263.29776,60231.34355,0,0,108305.5549,119921.6038,92037.25104
Unknown 131,,51342.04368,156570.8204,221927.942,376473.3237,252226.3217,269503.7318,85028.47214,61936.00035,45304.84468,180192.203,35376.13574,34445.72232,237609.2709,223653.699,81148.11142,673481.1561,591499.3334,942822.2808,222158.745,173239.3221,106708.5099,71606.06262,208866.0923,35410.5264
Unknown 132,,59567.64362,0,244972.0506,0,0,0,0,0,0,0,0,0,0,0,0,775480.6384,687298.1968,1090805.989,0,0,0,0,0,0
Unknown 133,,29739.98231,35406.85227,37301.95816,0,0,24437.58596,84458.34947,62658.81255,87924.40964,43215.06578,77998.08729,67889.80251,0,0,20065.21877,65147.47237,38260.93046,38486.85949,63741.36421,49546.6627,2350.370946,96666.89588,85443.64907,82850.90795
Unknown 134,,13752.88021,19457.296,24774.9744,97982.60673,54471.72826,84587,17483.901,25816.47992,17590.79077,17300.46216,22415.33526,20478.18655,23459.63661,25076.37877,35149.94306,46596.11134,32964,33017.4683,48608.17588,39516.06489,27688.72939,22972.50648,27240.14315,33525.83786
Unknown 135,,53645.20428,38772.86438,78971.67238,28766.06822,168651,218478.7277,68460.67743,123083.3166,63531.2461,47239.06778,194815.3098,105671.9693,73349.42602,58393.26306,125688.5789,127973.2873,77863.31622,93588.55033,86843.20566,74404.31954,50913.93592,211610.013,221042.3174,105160.2414
Unknown 136,,187233.2386,207662.0951,227142.657,329906.4064,199940.3125,232085.3113,234965.9877,316896.2807,243518.0249,234385.3055,294383.8885,189287.7307,66980.49833,92009.88947,82101.85409,513641.2736,439877.4667,595321.8095,95324.42199,57126.62447,76978.77109,414080.6286,371598.0379,317152.9809
Unknown 137,,115361.1113,133787.6668,132077.8991,222863.3532,132046.0193,144441.4843,137972.9153,93205.27549,132989.1103,79743.87865,174059.3808,81003.87292,16078.30236,18878.02964,38868.55676,17458.51452,11662.45222,21636.48845,37758.09424,23801.27962,0,209236.7202,175562.3332,167160.5259
Unknown 138,,129241.3166,133454.2432,138327.0672,144300.7935,129354.5024,145372.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 139,,36936.04143,41247.70622,46272.79698,1662987.23,728511.4117,676621.1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 140,,2425309.253,1902939.592,1706710.164,1493541.468,1950392.448,1383776.194,1189832.93,1140677.003,1137357.957,1149056.437,986654.8467,733520.5898,64809.78215,135597.4722,290485.7945,184843.9959,74812.21585,106615.4956,45267.75817,58505.73098,53698.18138,203742.564,206273.1118,202121.8019
Unknown 141,,3755368.646,3740861.614,4490163.553,2329456.925,2081005.029,2300746.021,1647490.959,1864399.731,1910848.056,2102615.733,1482499.441,1407585.171,2685505.284,2491153.169,2323027.25,2512546.311,1906229.214,2627348.834,1934483.604,1411254.12,1230007.971,1722479.396,1621969.031,1076819.531
Unknown 142,,21864.59723,20175.28058,10755.19265,59850.96327,5957.869679,21737.86702,50675.68739,39722.38581,68724.53215,15950.96188,194277.3821,10367.76101,40926.01038,35283.73186,33515.43907,36249.50806,19546.17037,47121.06604,34260.93652,27924.80837,27396.16807,264746.8784,172524.9815,252533.0631
Unknown 143,,98766.01473,44277.59406,191602,202912.4373,90612.83668,77747.89527,52402.41414,159743,128049,51534.95327,330302.5708,127301.8249,104236.6336,110367.5708,94199.4622,160717.3069,38356.61869,168860.3277,104361.7151,93784.14472,39224.58348,220939.0868,289424.482,339273.7796
Unknown 144,,220669.1025,169794.8455,188146.9033,121178.0815,104045.5529,94110.058,127817.4541,131350.2933,108033.9551,88333.44244,76487.58178,70496.73632,226014.9414,192623.8698,179142.0371,248677.0714,153064.3959,263975.2719,200435.4124,182912.1983,117761.4227,99304.52946,109428.7513,80878.4244
Unknown 145,,31485.59108,40230.63959,53794.70047,67039.50782,61403.92157,68947.76262,82904.51434,83527.9627,106433.5514,76023.68364,116435.2879,91663.93258,24227,37688.26921,30400.90811,57471.02015,38357.07117,51032.65486,59411.619,49500.13834,41020.44655,144957.842,134789.1422,112388.4687
Unknown 146,,68258.08663,114532.9321,65602.54113,51891.06627,41744.26403,84784.89325,51668.38332,98891.78673,47437.91706,48316.27653,48385.08689,77269.00352,60664.34046,62422.41865,41107.05415,70064.37966,73098.97088,70415.93308,43583.03918,37698.84196,17844.08468,52156.91131,117813.273,41529.68548
Unknown 147,,492623.7709,509225.6467,740868.286,319546.6165,134741.3629,177834.9507,28706.65564,68964.13799,21903,147963.1137,88828.53545,143265.8128,44663.05251,122735.8695,40991.35969,160891.9078,97048.74312,107114.1236,20749.80844,53036.36335,60976.67939,14921.29703,31261.86233,23580.52016
Unknown 148,,0,86530.65744,72682.47184,0,109822.9383,69060.11459,44082.12802,54256.50179,0,0,0,498.1681326,193925.6609,160639.4982,97766.2498,83825.08313,29086.86843,134438.6349,94324.63172,102673.853,78717.89721,326.2095452,50732.52227,5577.106618
Unknown 149,,101516.335,119639.8245,141345.6083,125186.5753,24263.77499,48900.10007,69502.31417,81927.57813,78874.79535,7627.3515,24878.62725,8395.445294,138970.282,122859.6124,87004.17225,121773.3853,96647.37583,133488.2922,93888.36213,63121.48009,48972.40882,112653.9796,128014.9291,90340.038
Unknown 150,,427896.9343,566916.6248,574844.7942,365745.6795,336565.8487,352387.3185,443416.1284,335598.7636,419861.318,274010.8879,248229.2225,250793.4356,408341.7456,355269.5699,299997.2498,264776.0536,232026.2904,420748.6185,322890.3252,239684.8396,209549.5863,195837.1257,194352.0258,140369.3057
Unknown 151,,417533.0405,498259.7587,624405.1272,373902.4041,325735.1861,337632.2712,441261.0608,363521.3456,412445.5975,263292.8733,237449.7628,231318.1414,361121.7641,313912.642,274262.8868,313127.0256,182289.4486,265296.762,282066.8444,157313.7424,140703.6101,180067.2245,186851.1786,142415.8682
Unknown 152,,1116638.563,1267114.861,1706155.968,765756.9076,570855.7704,585983.7086,828557.1953,871716.3024,841871.9519,478817.682,456862.1347,391232.4099,790743.1628,779394.7675,682713.8031,856609.9841,616103.9022,794588.7028,579824.2458,415353.4712,382353.0651,315881.1365,283449.5863,251090.1166
Unknown 153,,58922.49376,67120.66337,69349.57729,88313.82586,54169.58063,48711.56191,114953.4351,290213.5019,162674.3998,63400.06962,88744.28822,55010.65911,24091.59266,69006.6137,69946.22708,67161.24502,52454.11097,78844.16362,57832.20586,39776.68627,26584.98562,121998.5746,113331.4781,110463.1491
Unknown 154,,3610099.026,5302375.262,6465613.307,8449901.975,6952976.092,9055224.101,9766785.168,12231196.64,10034049.04,12792033.24,21729686.34,18572114.55,8112640.423,9594434.264,5384487.608,5478629.461,3974115.576,5741136.388,5396491.337,4184588.561,3572308.58,20550729.27,21656534.05,18463579.92
Unknown 155,,1135388.586,1301361.789,1833973.518,1069372.066,574631.359,669793.8826,1325828.339,1310954.984,1393787.226,763247.2208,745709.5149,589345.1265,854353.8038,784441.7846,746268.177,1174724.618,962958.3012,1174271.814,969677.5156,755641.0917,703357.3027,705633.4909,598763.4134,315133.4677
Unknown 156,,164292.2119,181897.8911,226395.3791,149296.1354,119209.2746,163627.0981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 157,,101679.4429,108900.4551,140145.6602,116345.6511,32264,57329.77292,211608.3279,214237.4612,219556.7348,76735.57633,102556.534,65601.80472,214904.4568,202299.7454,183268.028,291937.6487,266776.4453,263820.6805,291904.8298,218298.245,220968.0349,132243.9701,143427.2759,130826.416
Unknown 158,,62941.20478,65789.63316,97466.55632,82819.061,11686.86241,37617.66322,55369.05599,58764.14747,63438.63655,0,30828.28667,11173.59324,28015.73265,52475.33328,39883.32688,59679.57783,21046.80989,49564.58223,31400.47803,33792.09147,29798.3438,48087.66972,41833.07859,29669.77188
Unknown 159,,432923.9654,451983.5858,690588.2231,359300.1509,181352.0105,199042.4631,523342.3207,470759.5083,483878.5936,233276.3889,230904.7071,196254.4384,375502.1062,378258.2349,353260.7025,359559.7111,263968.6579,343334.6441,274894.1793,220686.4869,210065.8645,201189.9864,181815.1926,128413.1457
Unknown 160,,47386.61574,50817.23386,73924.18998,47480.88131,17442.71046,21388.63549,60200.6423,64341.50396,55340.17624,38286.45576,38478.68411,25763.27588,35997.77997,27847.13122,22901.13829,86761.95129,59272.23593,70912.64782,89574.90238,72265.67362,51605.49457,67497.50006,56587.27295,42191.8791
Unknown 161,,982533.4466,1139252.474,1429893.16,565595.0689,457625.6121,503830.7192,1592537.589,1520208.493,1724752.107,622003.8475,560913.6001,601193.0662,783070.0828,796862.7546,782822.2483,1117082.187,732098.5485,883839.2005,786446.0732,571702.9426,556992.9583,433071.1349,439110.6698,319250.1062
Unknown 162,,1591924.922,1901907.235,2282336.962,1027249.263,720227.9507,837608.1129,2467864.839,2462810.617,2714979.332,1049866.937,1007526.929,1003140.344,1350679.85,1366939.611,1337794.038,1911295.471,1348160.144,1778211.756,1549656.514,1156290.32,1114887.724,792759.1383,769704.0061,655433.7411
Unknown 163,,2474927.633,2558923.234,2982231.848,2703347.35,2484021.844,2136410.869,1966192.871,1963560.351,1963734.1,1891450.093,1147422.877,1233654.973,1955890.784,1968269.461,1644325.517,1483341.859,1314646.877,1565436.385,1314438.26,1076527.836,788656.6615,1383400.761,1092031.399,842381.0918
Unknown 164,,8662092.711,9416246.439,11905438.54,4652185.289,3955178.157,4138706.147,9162266.532,9351776.748,9575125.969,4602021.352,3965264.107,3962131.674,6047452.449,5594964.418,5707015.057,8331749.884,5544015.657,6915163.685,5637823.284,3937710.202,3693271.882,3281944.659,3074578.568,2555149.725
Unknown 165,,87857.36713,104720.9794,126880.302,26902.44703,49038.05507,49018.32411,36701.83193,22430.47144,105552.12,57551.13314,9328.492492,47913.59047,53377.33503,59174.84549,33384.36972,66249.54382,48600.51221,65744.59087,30108.65293,35548.34448,21334.91893,74253.73812,74419.11511,70059.61942
Unknown 166,,142146.6489,277238.0866,263682.7871,268644.7732,134606.9725,1383833.133,263241.8558,252959.6643,299254.899,2481835.866,365842.5735,70588.07143,77345.68867,149911.0587,197126.0489,204955.5191,217182.598,343558.2109,250154.3057,138164.7944,138728.8474,105989.9673,393346.2394,113439.7606
Unknown 167,,405511.5849,555051.3737,485996.1011,529355.5423,453708.5803,560624.4334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 168,,7532349.731,8742894.06,11871451.18,5570612.609,3490142.579,4380041.963,14285289,12409623.91,15002212.57,5922443.636,5817913.107,5747368.792,5787465.136,5708573.991,6152098.556,7955368.353,5862560.83,7133818.412,5320474.484,3947552.63,3932598.593,4100906.007,3844009.031,2849013.835
Unknown 169,,170482.9149,202561.8597,0,194294.6997,172886.9537,145781.349,154566.7643,181028.7167,59399.8453,114951.4647,95993.46431,84161.46593,129009.8785,115105.3487,134815.2581,175408.2146,115086.1117,153043.8079,123440.4113,83283.5631,79158.01803,129451.6545,99179.76774,93996.3804
Unknown 170,,104351.6943,129281.1746,126021.5775,270855.8706,30340.79171,271452.6248,200458.1474,194797.2623,258545.8767,209532.8774,197882.9879,133519.3341,158524.2223,191221.8962,140170.8044,234216.4427,204129.5923,208780.4784,179234.5479,121771.899,123012.1979,240469.2399,183528.5587,188702.8567
Unknown 171,,178604.1328,241564.6579,271896.0554,246106.2816,174056.359,231836.6851,161997.7263,182814.4425,162647.1886,225798.6187,250627.8234,216900.727,140765.1866,184898.2761,151726.8928,117804.4126,102852.621,169754.3581,129954.6247,98595.60402,98790.78292,240876.4615,223430.9857,173286.4997
Unknown 172,,63318.60783,69969.12582,59007.90231,64513.86065,53702.06927,61877.87757,124887.0155,134036.5021,138145.7955,47618.93704,119923.2074,90477.50602,73945.31189,66765.59763,65794.52691,79979.412,74266.99768,71067.41784,73283.08255,69724.75287,62788.14371,128911.8042,119055.167,105680.0701
Unknown 173,,62958.19905,50502.60485,192811.5326,31926.9083,72816.17283,44277.05925,175066.1291,189551.3211,172230.6706,46196.96608,175997.1989,104461.8751,87244.41518,129170.4813,243071.1369,176445.9226,267888.9988,296093.5464,168978.9585,40226.6789,47346.591,203442.0018,161178.0325,150107.5556
Unknown 174,,29878.40408,54163.6204,42625.44296,16008.05367,33909.15815,31218.65886,53678.81575,67616.39064,51009.6129,40481.99045,53274.82627,63363.29382,69867.32088,52243.0671,64706.7174,70303.92121,52387.51265,74158.47223,75718.2435,69077.20615,63400.68953,84997.91956,76584.60214,56778.38494
Unknown 175,,284222.7445,328954.5722,326049.1628,287928.2918,128388.0411,170624.7466,296104.0385,268726.2214,263507.243,214149.9643,185504.9361,24838.11054,36154.7424,184713.3295,140258.9124,326848.9185,124074.4305,160655.0307,142688.3474,45641.22418,114978.501,193452.667,193458.7467,98555.62023
Unknown 176,,43033.73268,46687.93841,75123.59236,44313.95101,7888.247734,7610.132638,64051.65685,64740.09411,68282.54055,34514.01256,54581.08652,37827.41296,0,0,0,70091.78986,58886.52742,67660.16734,65900.43912,59579.06336,43679.28228,93913.23299,78397.71836,42993.5417
Unknown 177,,95694.68048,119508.2847,107129.9262,106192.7282,83925.35642,111018.6415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 178,,764300.3854,940081.5506,1096534.43,833193.1126,496110.3807,576746.1553,777885.7372,791711.1542,829818.308,756913.4447,732906.0942,652075.9709,336091.3554,410602.585,420409.5851,399850.3676,352117.3881,518189.861,342918.1366,304321.32,277998.5144,555801.135,414137.3093,394724.7759
Unknown 179,,174784.6695,173411.0969,114950.9315,352786.7989,280495.0537,312113.6876,166740.8268,182218.5248,210768.3324,121237.0164,93490.03238,163638.6455,140228.9143,69657.94183,107582.4918,107245.9624,103186.1918,85703.96711,42598.83348,44654.81587,75028.73595,90829.18419,147311.233,150022.1791
Unknown 180,,110853.7238,93041.88474,74569.80344,168998.5243,165477.1559,162846.2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 181,,1538220.78,2733652.813,2677737.631,2598352.053,2636094.042,3104001.84,10117328.43,12428556.18,9681504.184,6678605.002,9185308.783,12484626.27,1355429.74,1630213.602,1087834.211,1868231.068,1550171.911,2010672.747,2202403.866,2117157.073,1620891.539,9553546.716,11785158.91,10186143.48
Unknown 182,,32197.85494,37831.18646,89598.58393,49180.28655,76401.47032,36572.04378,286246.9729,323508.6759,282629.3438,184499.8174,326698.6787,212351.066,36885.61132,39899.63953,24700.41125,66072.57667,32114.4596,97238.31175,142445.9791,99089.28439,51485.99838,436789.3066,350232.5391,319152.8435
Unknown 183,,78877.19312,108076.7269,132948.6363,117076.0691,69317.98109,97468.19747,410930.9622,535916.0546,443563.4664,259056.6261,444489.8349,326444.3269,78152.7308,99476.04707,68850.42196,121243.5227,91964.31281,210051.7654,169785.6943,132587.4705,151263.7127,615387.3815,431815.5472,471231.9436
Unknown 184,,53677.99801,74866.18382,71359.60603,34416.63436,118958.297,103191.0346,33530.29442,22191.60304,18098.97726,133049.8414,0,361343.4362,57331,92954.19371,43136.09511,50121,40858,60908.61815,35764.86433,41056.89828,25276.09869,116636.5936,143501.0741,173467.2597
Unknown 185,,317552.7167,401045.2114,493222.0754,325436.4789,240574.7768,246855.4469,518357.034,547639.9974,555214.7085,529163.417,525809.9657,473064.5851,108189.0592,98931.06262,114564.8418,262530.4158,194311.8844,333416.96,192465.8373,165931.5528,157109.7552,337252.0215,227383.4519,234012.5296
Unknown 186,,105301.5653,143777.2374,144831.2581,149155.8269,95503.46977,143814.9178,217190.2794,227230.6079,165083.5749,198461.5643,238769.9339,266057.3637,149546.785,131431.4874,139952.3699,65986.49213,18729.96042,41274.36093,24096.77403,24629,985.9942302,6032.068409,240448.7539,181778.7029
Unknown 187,,246301.4272,399844.9242,255598.5793,230686.7916,295735.4451,390773.2501,360197.9891,333259.073,244279.6729,225981.9962,289695.1434,438778.7727,460603.7355,350415.2693,566081.3005,579837.1434,481248.1427,602473.5194,361980.6004,649295.6823,509385.087,813444.1804,594635.2736,417293.8961
Unknown 188,,114242042.7,277340.7548,139678.684,388867.912,200895.3947,354039.7974,292196.0601,300441.4063,293153.224,184744.8865,161346,416473.4952,110400972.2,39543077.34,84363955.03,117003486,28901463.14,131366715.8,93178879.39,85331325.41,22371560.65,484059.1107,428570.083,287008.1164
Unknown 189,,51724741.43,68948982.1,73096282.85,77853274.47,75656077.5,72988621.73,70003750.8,72666702.59,70125084.94,72404902.16,76428589.85,74224306.65,51050245.69,58301657.94,39947358.98,54253070.37,44771359.74,59314823.57,44554391.71,41022536.15,35469624.6,72986634.09,76024512.95,71259067.75
Unknown 190,,706737.4515,956573.2714,889474.4165,719269.1522,649760.7545,660928.5402,634815.6405,622274.1805,688891.7523,743569.102,685661.9487,706267.3763,75317.44333,142120.2987,109010.5003,258840.6424,189479.5179,273049.7966,173964.3506,158953.2498,140466.8293,409721.0021,279565.3591,336293.7348
Unknown 191,,1117161.498,1674176.969,1605628.709,2136069.623,1701545.664,1985241.579,2346921.664,2391734.546,2703121.655,2468727.685,2623073.937,2079439.105,308320.4589,7860.753611,655083.5842,418926.7495,262086.319,543530.2841,0,56308.50982,43385.56543,1049593.94,700687.2774,1270036.319
Unknown 192,,262958.4862,168351.5278,207537.9924,201885.6887,478811.1021,602966.7241,272742.1934,235966.9219,327561.7618,275270.838,263118.6127,294302.7463,223536.687,163606.144,243482.5896,139514.0977,147593.7498,290430.5056,181022.7808,208260.7397,223852.1017,211376.8629,243447.1086,180111.3883
Unknown 193,,26829.76489,32135.09642,62402.32621,112359.331,14164.58761,70611.81894,33662.29908,44452.79231,92090.57474,100293.8983,182286.6228,147760.7787,94074.71525,29866.06354,75053.03513,86591.85859,77200.49718,93801.17378,58074.90112,41943.75075,24690.62466,193503.9973,203157.2919,149010.8079
