m/z,RT [min],Name,model_metabolite,mass_difference,Tags,Formula,Foston_In_1-B_Met_LC_HILIC_Neg (F33),Foston_In_1-C_Met_LC_HILIC_Neg (F34),Foston_In_1-D_Met_LC_HILIC_Neg (F35),Foston_In_1-E_Met_LC_HILIC_Neg (F36),Foston_In_1-F_Met_LC_HILIC_Neg (F37),Foston_In_1-G_Met_LC_HILIC_Neg (F38),Foston_In_1-H_Met_LC_HILIC_Neg (F39),Foston_In_1-I_Met_LC_HILIC_Neg (F40),Foston_In_1-J_Met_LC_HILIC_Neg (F41),Foston_In_1-K_Met_LC_HILIC_Neg (F42),Foston_In_1-L_Met_LC_HILIC_Neg (F43),Foston_In_4-A_Met_LC_HILIC_Neg (F44),Foston_In_4-B_Met_LC_HILIC_Neg (F45),Foston_In_4-C_Met_LC_HILIC_Neg (F46),Foston_In_4-D_Met_LC_HILIC_Neg (F47),Foston_In_4-E_Met_LC_HILIC_Neg (F48),Foston_In_4-F_Met_LC_HILIC_Neg (F49),Foston_In_4-G_Met_LC_HILIC_Neg (F50),Foston_In_4-H_Met_LC_HILIC_Neg (F51),Foston_In_4-I_Met_LC_HILIC_Neg (F52),Foston_In_4-J_Met_LC_HILIC_Neg (F53),Foston_In_4-K_Met_LC_HILIC_Neg (F54),Foston_In_4-L_Met_LC_HILIC_Neg (F55)
144.06599,4.647,4-Acetamidobutyric acid,4 Acetamidobutanoate C6H10NO3,0.0006300000000010186,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H11 N O3,498850.0786,151688.3344,164269.7743,612837.6351,974745.0614,3816176.251,1162947.133,3440317.5810000002,7065451.4120000005,5479774.891,7503498.27,31777.53099,96975.12175,96150.55623999999,50220.29546,56416.76757999999,70525.53022999999,290336.8897,122220.7259,75040.21664,5716408.12,6514048.619,4945537.59
129.05523,1.245,4-Methyl-2-oxopentanoic acid,4-Methyl-2-oxopentanoate,0.0004900000000134241,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H10 O3,5015970.097,3784626.77,6190692.784,3667502.673,4435211.71,6422291.304,5397609.043,7458351.813999999,5382099.908,7164883.175,7784014.352000001,2297783.1459999997,1148458.86,2332835.267,2729763.284,3574981.5530000003,2679848.644,5440197.823,5568819.546,4923772.705,3094972.9689999996,11334782.21,12432944.38
141.03,3.378,5-Hydroxymethyluracil,"Cis,cis-Muconate",0.00993999999997186,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H6 N2 O3,240305.7411,652717.8682,1889260.0,1414660.781,853397.4256,6311840.714,884544.6898,1556034.823,2392103.432,34044.103460000006,1016523.1240000001,5850527.64,12354.56689,4285292.703,2435557.236,500616.771,327142.3351,894662.0007,698928.2135,419278.831,268949.2185,298858.1418,233112.0713
296.0817,2.089,5'-methylthioadenosine,D-4'-Phosphopantothenate,0.026529999999979736,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C11 H15 N5 O3 S,7500599.976,7121292.603999999,8559742.946,9538784.026,7068553.0370000005,4376211.594,4350476.819,5559682.051,5296686.573,6747618.027000001,5619836.558999999,3636827.278,34472.623210000005,2674420.26,3628227.091,3832724.7260000003,3789932.5110000004,2604766.815,2293219.406,1742732.994,8102828.82,8050917.782000001,9263580.453
426.0216,5.527,"Adenosine 3',5'-Biphosphate",Adenosine 5'-phosphosulfate,0.008249999999975444,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H15 N5 O10 P2,6022031.632,7552492.204,14847410.16,7870857.321,10486967.96,9297790.952,11780375.19,13200132.44,15889791.47,14917603.53,15241878.6,1759191.215,15055.23409,3486674.106,4422832.282,5311762.797,453539.9659,531487.9236,1471476.023,835078.4355,507363.3541,465903.481,4063401.353
346.05421,5.175,Adenosine 5' monophosphate (AMP),AMP C10H12N5O7P,0.002319999999940592,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H14 N5 O7 P,20720976.6,18431400.83,27489477.87,22476503.17,25592207.79,31523743.21,38673768.42,37458180.47,35525940.57,24304794.41,33099003.3,22195810.25,8374.393407,23343425.3,15859233.14,16517176.51,21572070.44,12718173.08,8362658.697000001,7474206.334,25986770.11,28589296.08,27287612.2
145.05002,4.717,Adipic acid,(S)-2-Aceto-2-hydroxybutanoate,0.0006100000000230921,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H10 O4,1101900.972,1141257.101,1481766.959,1416461.737,1274792.7179999999,3074353.361,1011292.031,1663622.774,1522254.205,1552993.279,1943985.543,813752.9554,58913.221639999996,935286.7696,924792.0839,1040280.052,975751.9523,757802.3357,931178.7909,785776.3573,286979.2533,1480205.861,1380887.0359999998
157.03605,3.511,Allantoin,(S)-Dihydroorotate,0.010569999999972879,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H6 N4 O3,778905.1204,1031071.05,748272.228,872948.3813,693331.2755,1419398.845,1145486.65,1623825.4009999998,2871142.4469999997,2478372.31,2625912.2180000003,2299398.973,12940.79967,2689919.418,4031018.7389999996,5129973.414,3592706.311,2717045.808,1823124.4130000002,1498042.461,3746881.9689999996,4099973.442,3509396.665
220.0825,4.4110000000000005,Amino-Sugars-C8,L-Histidinol phosphate,0.0332300000000032,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C8 H15 N O6,388488.8361,430046.9939,118086.6163,126843.1364,110959.614,2389533.335,1644027.668,2305489.753,1167009.201,1194071.601,1440727.6630000002,11452853.94,8317.457665,12349984.96,6216617.754,7269206.711,5217017.233,660145.7208,534451.7831,408672.37799999997,858620.8991,938831.1603,991135.1177
136.03981000000002,1.482,Anthranilic acid,4-Aminobenzoate,0.0005899999999883221,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C7 H7 N O2,1242452.515,1588990.725,4776858.313999999,8695710.733,2735500.92,19452473.34,1447628.374,14454161.57,2244026.715,6026146.135,3916239.2830000003,1081938.995,52781.34304,1225718.764,19987649.79,17141924.49,14215631.3,12066864.02,13895167.91,9358011.851,20002306.52,30767679.45,33694418.36
