Line Name,Measurement Type,Time,Value,Units,,,,
WT-G-R1,PD630_LPD04110,14,764,counts,,,,
WT-G-R1,PD630_LPD06445,14,1390,counts,,,,
WT-G-R1,PD630_LPD07750,14,25,counts,,,,
WT-G-R1,PD630_LPD05776,14,218,counts,,,,
WT-G-R1,PD630_LPD00156,14,213,counts,,,,
WT-G-R1,PD630_LPD02890,14,97,counts,,,,
WT-G-R1,PD630_LPD05131,14,9047,counts,,,,
WT-G-R1,PD630_LPD04107,14,2546,counts,,,,
WT-G-R1,PD630_LPD02533,14,12,counts,,,,
WT-G-R1,PD630_LPD01993,14,175,counts,,,,
WT-G-R1,PD630_LPD01854,14,185,counts,,,,
WT-G-R1,PD630_LPD04108,14,1900,counts,,,,
WT-G-R1,PD630_LPD07082,14,0,counts,,,,
WT-G-R1,PD630_LPD05605,14,1907,counts,,,,
WT-G-R1,PD630_LPD06257,14,131,counts,,,,
WT-G-R1,PD630_LPD01990,14,602,counts,,,,
WT-G-R1,PD630_LPD06277,14,162,counts,,,,
WT-G-R1,PD630_LPD06898,14,82,counts,,,,
WT-G-R1,PD630_LPD02226,14,24,counts,,,,
WT-G-R1,PD630_LPD02270,14,214,counts,,,,
WT-G-R1,PD630_LPD03549,14,19,counts,,,,
WT-G-R1,PD630_LPD06647,14,18,counts,,,,
WT-G-R1,PD630_LPD02896,14,755,counts,,,,
WT-G-R1,PD630_LPD04136,14,86,counts,,,,
WT-G-R1,PD630_LPD04684,14,22,counts,,,,
WT-G-R1,PD630_LPD01546,14,32,counts,,,,
WT-G-R1,PD630_LPD01618,14,734,counts,,,,
WT-G-R1,PD630_LPD01994,14,104,counts,,,,
WT-G-R1,PD630_LPD00154,14,146,counts,,,,
WT-G-R1,PD630_LPD00254,14,54,counts,,,,
WT-G-R1,PD630_LPD01991,14,928,counts,,,,
WT-G-R1,PD630_LPD06189,14,32,counts,,,,
WT-G-R1,PD630_LPD03455,14,487,counts,,,,
WT-G-R1,PD630_LPD01992,14,386,counts,,,,
WT-G-R1,PD630_LPD01476,14,115,counts,,,,
WT-G-R1,PD630_LPD01412,14,69,counts,,,,
WT-G-R1,PD630_LPD06577,14,485,counts,,,,
WT-G-R1,PD630_LPD07751,14,60,counts,,,,
WT-G-R1,PD630_LPD04433,14,1335,counts,,,,
WT-G-R1,PD630_LPD01094,14,131,counts,,,,
WT-G-R1,PD630_LPD03801,14,7,counts,,,,
WT-G-R1,PD630_LPD07746,14,24684,counts,,,,
