Line Name,Measurement Type,Time,Value,Units
WT-C3-R3,Optical Density,50.67194444,0.376675216,n/a
WT-C3-R3,Optical Density,54.7325,0.350007306,n/a
WT-C3-R3,Optical Density,63.22666667,0.303585415,n/a
WT-C3-R4,Optical Density,0,0.020905658,n/a
WT-C3-R4,Optical Density,3.815277778,0.022485975,n/a
WT-C3-R4,Optical Density,10.57694444,0.056462871,n/a
WT-C3-R4,Optical Density,14.79083333,0.038684265,n/a
WT-C3-R4,Optical Density,19.89388889,0.056067785,n/a
WT-C3-R4,Optical Density,23.24555556,0.075426708,n/a
WT-C3-R4,Optical Density,29.30138889,0.121651056,n/a
WT-C3-R4,Optical Density,34.14083333,0.18387615,n/a
WT-C3-R4,Optical Density,40.13944444,0.239582431,n/a
WT-C3-R4,Optical Density,45.16194444,0.349809733,n/a
WT-C3-R4,Optical Density,50.67194444,0.419146299,n/a
WT-C3-R4,Optical Density,54.7325,0.376082556,n/a
WT-C3-R4,Optical Density,63.22666667,0.32650003,n/a
WT-C3-R5,Optical Density,0,0.003324595,n/a
WT-C3-R5,Optical Density,3.815277778,0.009448335,n/a
WT-C3-R5,Optical Density,10.57694444,0.024263836,n/a
WT-C3-R5,Optical Density,14.79083333,0.027424485,n/a
WT-C3-R5,Optical Density,19.89388889,0.035326087,n/a
WT-C3-R5,Optical Density,23.24555556,0.058438246,n/a
WT-C3-R5,Optical Density,29.30138889,0.066734949,n/a
WT-C3-R5,Optical Density,34.14083333,0.148714053,n/a
WT-C3-R5,Optical Density,40.13944444,0.178740111,n/a
WT-C3-R5,Optical Density,45.16194444,0.255978263,n/a
WT-C3-R5,Optical Density,50.67194444,0.365415392,n/a
WT-C3-R5,Optical Density,54.7325,0.341710603,n/a
WT-C3-R5,Optical Density,63.22666667,0.292523164,n/a
WT-C3-R6,Optical Density,0,0.016164706,n/a
WT-C3-R6,Optical Density,3.815277778,0.025251538,n/a
WT-C3-R6,Optical Density,10.57694444,0.036906404,n/a
WT-C3-R6,Optical Density,14.79083333,0.03058512,n/a
WT-C3-R6,Optical Density,19.89388889,0.045400621,n/a
WT-C3-R6,Optical Density,23.24555556,0.074043935,n/a
WT-C3-R6,Optical Density,29.30138889,0.112366666,n/a
WT-C3-R6,Optical Density,34.14083333,0.180122915,n/a
WT-C3-R6,Optical Density,40.13944444,0.212717007,n/a
WT-C3-R6,Optical Density,45.16194444,0.254990547,n/a
WT-C3-R6,Optical Density,50.67194444,0.344871238,n/a
WT-C3-R6,Optical Density,54.7325,0.38793498,n/a
WT-C3-R6,Optical Density,63.22666667,0.329660665,n/a
WT-C3-R7,Optical Density,0,0.017349937,n/a
WT-C3-R7,Optical Density,3.815277778,0.025251538,n/a
WT-C3-R7,Optical Density,10.57694444,0.041844899,n/a
WT-C3-R7,Optical Density,14.79083333,0.035721173,n/a
WT-C3-R7,Optical Density,19.89388889,0.057450559,n/a
WT-C3-R7,Optical Density,23.24555556,0.085698786,n/a
WT-C3-R7,Optical Density,29.30138889,0.119873196,n/a
WT-C3-R7,Optical Density,34.14083333,0.185258953,n/a
WT-C3-R7,Optical Density,40.13944444,0.240965234,n/a
WT-C3-R7,Optical Density,45.16194444,0.293708424,n/a
WT-C3-R7,Optical Density,50.67194444,0.384774345,n/a
