reaction_id,reaction,genes
3HPPPNH,3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,WP_005237913_1
3HPTNCOAR,3hptcoa_c + nadp_c --> 3oxptcoa_c + h_c + nadph_c,WP_005240908_1
3HSA,9ohadd_c --> 3hsa_c,
3M2OPLOXRD,3mop_c + h_c + lpam_c --> 2mbdhl_c + co2_c,WP_005250010_1 and WP_005252811_1
3MBt2pp,3mb_p + h_p --> 3mb_c + h_c,WP_005243991_1 or WP_025433374_1
3MBt4pp,3mb_p + na1_p --> 3mb_c + na1_c,WP_005243991_1 or WP_025433374_1
3MBtex,3mb_e <=> 3mb_p,
3OADPCOAT,3oxoadp_c + succoa_c --> oxadpcoa_c + succ_c,
3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c,WP_005250766_1 or WP_005251119_1 or WP_025431983_1
3PEPTabcpp,LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c,WP_005250018_1 or ( WP_005237762_1 and WP_005237763_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_005248478_1 )
3PEPTtex,LalaDgluMdap_e <=> LalaDgluMdap_p,
3SALATAi,3sala_c + akg_c + h_c <=> 3snpyr_c + glu__L_c,
3_4DHBZ1t_pp,34dhbz_p + h_p --> 34dhbz_c + h_c,WP_005242861_1
3_4DHBZt2,34dhbz_e <=> 34dhbz_p,
42A12BOOXpp,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p,WP_005250970_1
4ABUTD,4abutn_c + h2o_c + nadp_c <=> 4abut_c + 2.0 h_c + nadph_c,WP_005241094_1 or WP_005241278_1 or WP_005242840_1 or WP_025431636_1 or WP_025433525_1
4ABUTabcpp,4abut_p + atp_c + h2o_c --> 4abut_c + adp_c + h_c + pi_c,WP_226955505_1
4ABZGLUH,4abzglu_c + h2o_c <=> 4abz_c + glu__L_c,WP_005239922_1
4ABZGLUtex,4abzglu_e <=> 4abzglu_p,
4ABZGLUtr,4abzglu_p + h_p --> 4abzglu_c + h_c,WP_226955753_1
4CMLCL_kt,4cml_c + h_c --> 5odhf2a_c + co2_c,WP_005250222_1 or WP_025433264_1
4H2KPILY,4h2kpi_c --> pyr_c + sucsal_c,WP_025432001_1 or WP_025433530_1
4HALDD,4hoxpacd_c + h2o_c + nad_c <=> 4hphac_c + 2.0 h_c + nadh_c,WP_005250821_1
4HBADH,4hba_c + nad_c <=> 4hbald_c + h_c + nadh_c,
4HBAt,4hba_e <=> 4hba_c,
4HBCOAH,4hbutcoa_c --> h2o_c + vaccoa_c,WP_025433939_1
4HBHYOX,4hbz_c + h_c + nadph_c + o2_c --> 34dhbz_c + h2o_c + nadp_c,WP_005251081_1
4HBZtex,4hbz_e <=> 4hbz_p,
4HOXPACMOF,4hphac_c + fadh2_c + o2_c --> 34dhpha_c + fad_c + h2o_c,WP_005251125_1
4HOXPACMOF_1,4hoxpac_c + fadh2_c + o2_c --> 34dhpacet_c + fad_c + h2o_c,WP_005251125_1
4HOXPACMON,4hoxpac_c + h_c + nadh_c + o2_c --> 34dhpacet_c + h2o_c + nad_c,WP_005251125_1 or WP_025433337_1
4HOXPACt2pp_1,4hoxpac_p + h_p --> 4hoxpac_c + h_c,
4HPRO_LT_Et,4hpro_LT_e <=> 4hpro_LT_c,
4HPTNCOAK,4hptcoa_c + atp_c --> 4poptcoa_c + adp_c + h_c,WP_025431968_1
4HPTNCOAL,4hptn_c + atp_c + coa_c --> 4hptcoa_c + amp_c + ppi_c,WP_005246426_1
4HPTNtex,4hptn_e <=> 4hptn_p,
4HPTNtpp,4hptn_p + na1_p --> 4hptn_c + na1_c,WP_005243994_1
4OXPTCOADHx,4oxptcoa_c + h_c + nadh_c --> 4hptcoa_c + nad_c,WP_005241305_1
4OXPTCOADHy,4oxptcoa_c + h_c + nadph_c --> 4hptcoa_c + nadp_c,WP_005241305_1
4OXPTNtex,4oxptn_e <=> 4oxptn_p,
4OXPTNtpp,4oxptn_p + na1_p --> 4oxptn_c + na1_c,WP_005243994_1
4PCPpp,LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p,WP_005247706_1
