reaction_id,reaction,genes
DAAD7,fad_c + pro__D_c --> 1p2cbxl_c + fadh2_c,WP_025432946_1
DAAD8,fad_c + h2o_c + ser__D_c --> fadh2_c + hpyr_c + nh4_c,WP_025432946_1
DABAAT2,24dab_c + akg_c + h_c <=> aspsa_c + glu__L_c,WP_005238200_1 or WP_005248059_1
DACL,abg4_c + h2o_c + h_c <=> 4abz_c + glu__D_c,WP_025433243_1
DADA,dad_2_c + h2o_c + h_c --> din_c + nh4_c,WP_025432207_1
DADNt2,dad_2_e + h_e --> dad_2_c + h_c,WP_005252714_1
DAGK140,12dgr140_c + atp_c --> adp_c + h_c + pa140_c,
DAGK160,12dgr160_c + atp_c --> adp_c + h_c + pa160_c,WP_005251969_1 or WP_025431942_1
DAGLIPA160ex,12dgr160_e + h2o_e --> 1ag160_e + h_e + hdca_e,WP_005238246_1
DAGLIPA180ex,12dgr180_e + h2o_e --> 1ag180_e + h_e + ocdca_e,WP_005238246_1
DAGLIPA181d9ex,dag181d9_e + h2o_e --> 1ag181d9_e + h_e + ocdcea_e,WP_005238246_1
DAGLIPA182d9d12ex,dag182d9d12_e + h2o_e --> 1ag182d9d12_e + h_e + lnlc_e,WP_005238246_1
DALAabcpp,ala__D_p + atp_c + h2o_c --> adp_c + ala__D_c + h_c + pi_c,WP_025431853_1
DALAt2pp,ala__D_p + h_p --> ala__D_c + h_c,WP_005251594_1
DALAt2r,ala__D_e + h_e --> ala__D_c + h_c,WP_005250600_1 or WP_025432629_1
DAPDA,h2o_c + n6all26d_c <=> 26dap_LL_c + ac_c,WP_025433253_1
DAPDC,26dap__M_c + h_c --> co2_c + lys__L_c,WP_005252943_1
DAPE,26dap_LL_c <=> 26dap__M_c,WP_005240761_1
DAPabcpp,26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,WP_025433179_1
DARBabcpp,arab__D_p + atp_c + h2o_c --> adp_c + arab__D_c + h_c + pi_c,WP_226955687_1
DARBt3ipp,arab__D_c + h_p --> arab__D_p + h_c,WP_025431793_1
DASYN120,ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c,WP_025432370_1
DASYN140,ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c,WP_025432370_1
DASYN141,ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c,
DASYN160,ctp_c + h_c + pa160_c --> cdpdhdecg_c + ppi_c,WP_025432353_1 or WP_025432370_1
DASYN160190,ctp_c + h_c + pa160190_c --> cdpc16c19g_c + ppi_c,WP_025432353_1
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,WP_025432370_1
DASYN180,ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c,WP_025432370_1
DASYN181,ctp_c + h_c + pa181_c --> cdpdodec11eg_c + ppi_c,WP_025432370_1
DASYN190190,ctp_c + h_c + pa190190_c --> cdpc19c19g_c + ppi_c,WP_025432353_1
DATPHs,datp_c + h2o_c + h_c --> ditp_c + nh4_c,spontaneous
DB4PS,ru5p__D_c --> db4p_c + for_c,WP_005250334_1 or WP_005252658_1 or WP_025433534_1 or WP_187300227_1
DBTS,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,WP_005247569_1
DCAtex,dca_e <=> dca_p,
DCTPD,dctp_c + h2o_c + h_c --> dutp_c + nh4_c,WP_005238072_1
DCTPD2,ctp_c + h2o_c + h_c --> nh4_c + utp_c,WP_005238072_1
DDGALK,2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c,WP_005248341_1
DDGLK,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,WP_025433301_1
DDPA,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,WP_005244219_1 or WP_005247669_1
DDPGA,4h2oglt_c <=> glx_c + pyr_c,WP_005250926_1 or WP_005251224_1
DDPGALA,2dh3dgal6p_c <=> g3p_c + pyr_c,WP_005248344_1
DESAT16,h_c + nadph_c + o2_c + pmtcoa_c --> 2.0 h2o_c + hdcoa_c + nadp_c,WP_005240079_1
DESAT18,h_c + nadph_c + o2_c + stcoa_c --> 2.0 h2o_c + nadp_c + odecoa_c,WP_005240079_1 and WP_025431878_1
DESATPE160,2.0 h_c + 2.0 nadph_c + 2.0 o2_c + pe160_c --> 4.0 h2o_c + 2.0 nadp_c + pe161_c,
DGAK,glc__aD_c --> fru_c,WP_005252335_1
DGK1,atp_c + dgmp_c <=> adp_c + dgdp_c,WP_025432524_1
DGNSK,atp_c + dgsn_c --> adp_c + dgmp_c + h_c,
DGUNC,2.0 gtp_c --> cdigmp_c + 2.0 ppi_c,WP_005238658_1 or WP_005238828_1 or WP_005244086_1 or WP_005248812_1 or WP_005251624_1 or WP_025432743_1 or WP_025433392_1 or WP_226955760_1
DHACOAH,23dhacoa_c + h2o_c <=> 3hadpcoa_c,WP_005240908_1 or WP_005250863_1 or WP_005251515_1
DHAD1,23dhmb_c --> 3mob_c + h2o_c,WP_005240376_1 or WP_009478121_1 or WP_025433531_1
DHAD2,23dhmp_c --> 3mop_c + h2o_c,WP_005240376_1 or WP_009478121_1 or WP_025433531_1
DHAD3,23dhmp_c --> 2o3mpt_c + h2o_c,
DHAK,atp_c + dha_c --> adp_c + dhap_c + h_c,WP_005250844_1 or WP_025433088_1
DHAPT,dha_c + pep_c --> dhap_c + pyr_c,WP_005252856_1 or ( WP_005252856_1 and WP_025433088_1 )
DHBD,23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,WP_005244441_1 or WP_005245668_1 or WP_025433322_1
DHBS,23dhb_c + atp_c + h_c --> 23dhba_c + ppi_c,WP_005242411_1 or WP_005244442_1
DHBSH,23dhbzs_c + h2o_c --> 23dhb_c + ser__L_c,
DHBZS2H,23dhbzs2_c + h2o_c --> 2.0 23dhbzs_c + h_c,WP_005248690_1
DHBZS3H,23dhbzs3_c + h2o_c --> 23dhbzs2_c + 23dhbzs_c + h_c,WP_005248690_1
DHCINDO,dhcinnm_c + o2_c --> h_c + hkntd_c,WP_005245205_1
DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,WP_005240723_1
DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,WP_005240731_1 or WP_005241309_1 or WP_005242818_1 or WP_005243568_1 or WP_005250602_1 or WP_005250735_1 or WP_025431780_1
DHEDAA,24dhhed_c --> pyr_c + sucsal_c,WP_005243411_1 or WP_025432001_1 or WP_025433530_1
DHFR,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,WP_005248710_1 or WP_005250940_1
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,WP_226955799_1
DHNAOT,dhna_c + octdp_c --> 2dmmq8_c + co2_c + h_c + ppi_c,WP_005252033_1
DHNCOAS,h_c + sbzcoa_c --> 14dhncoa_c + h2o_c,WP_005250877_1
DHNCOAT,14dhncoa_c + h2o_c --> coa_c + dhna_c + h_c,
DHNPA2r,dhnpt_c <=> 6hmhpt_c + gcald_c,WP_005262144_1
DHNPA_1,dhnpt_c --> 2ahhmp_c + gcald_c,WP_005262144_1
DHORD2,dhor__S_c + q8_c --> orot_c + q8h2_c,WP_005256369_1
DHORDi,dhor__S_c + o2_c --> h2o2_c + orot_c,WP_005256369_1
DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c,WP_005241384_1 or WP_025432523_1
DHPACCOAHIT,2dhphaccoa_c + coa_c + 2.0 h2o_c --> 3hadpcoa_c + accoa_c + h2_c + h_c,WP_005250764_1 and WP_005250766_1 and WP_005250771_1
DHPDO,34dhpha_c + o2_c --> 5cmhmsa_c + h_c,
DHPM1,56dura_c + h2o_c --> cala_c + h_c,WP_005241384_1
DHPPDA,25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,WP_005241759_1
DHPPDA2,25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c,WP_005240942_1 or WP_005241759_1
DHPS,2ahhmp_c + 4abz_c --> dhpt_c + h2o_c,WP_025433075_1
DHPS2,4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,WP_005239236_1 or WP_005244970_1 or WP_025433075_1
DHQS,2dda7p_c --> 3dhq_c + pi_c,WP_005262316_1
DHQTi,3dhq_c --> 3dhsk_c + h2o_c,WP_005238388_1 or WP_005248177_1
DHR_1,cbasp_c + h_c <=> dhor__S_c + h2o_c,WP_025433273_1
DHSKDH,3dhsk_c --> 34dhbz_c + h2o_c,WP_025432960_1
DIPEPabc1,ala_L_asp__L_e + atp_c + h2o_c --> adp_c + ala_L_asp__L_c + h_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DIPEPabc10,atp_c + gly_glu__L_e + h2o_c --> adp_c + gly_glu__L_c + h_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DIPEPabc12,atp_c + h2o_c + met_L_ala__L_e --> adp_c + h_c + met_L_ala__L_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DIPEPabc13,atp_c + gly_asp__L_e + h2o_c --> adp_c + gly_asp__L_c + h_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DIPEPabc14,atp_c + gly_pro__L_e + h2o_c --> adp_c + gly_pro__L_c + h_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DIPEPabc15,atp_c + cgly_e + h2o_c --> adp_c + cgly_c + h_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DIPEPabc3,ala_L_glu__L_e + atp_c + h2o_c --> adp_c + ala_L_glu__L_c + h_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DIPEPabc8,atp_c + gly_asn__L_e + h2o_c --> adp_c + gly_asn__L_c + h_c + pi_c,WP_005243784_1 or ( WP_005237763_1 and WP_005237765_1 and WP_005248476_1 )
DKDID,dkdi_c + h2o_c --> d5kg_c + h_c,WP_025432955_1 and WP_025432956_1
DKGLCNR1,25dkglcn_c + h_c + nadph_c --> 2dhguln_c + nadp_c,WP_005250268_1 or WP_025431921_1
DLYSAD,fad_c + h2o_c + lys__D_c --> 6a2ohxnt_c + fadh2_c + nh4_c,WP_025432946_1
DLYSPYRAT,lys__D_c + pyr_c <=> 6a2ohxnt_c + ala__D_c,
DMALRED,fad_c + mal__L_c --> fadh2_c + oaa_c,WP_005240602_1
DMATT,dmpp_c + ipdp_c --> grdp_c + ppi_c,WP_187300232_1
DMGDH2,dmgly_c + h2o_c + nad_c <=> fald_c + h_c + nadh_c + sarcs_c,WP_005240076_1 and WP_005252400_1
DMPPS,h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,WP_005239003_1 or WP_025432847_1
DMSO2abcpp,atp_c + dmso2_p + h2o_c --> adp_c + dmso2_c + h_c + pi_c,( WP_005250729_1 and WP_143767463_1 ) or ( WP_005246626_1 and WP_005246633_1 and WP_025432639_1 )
DMSO2tex,dmso2_e <=> dmso2_p,
DNMPPA,dhpmp_c + h2o_c --> dhnpt_c + pi_c,WP_005247681_1 or WP_005248057_1 or WP_025433082_1
DNTAep,35dnta_c + h_p --> 35dnta_e + h_c,
DNTPPA,ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,WP_005248057_1
DOP1,dap24_c + h2o_c + nadp_c --> a24op_c + nadph_c + nh4_c,WP_005251090_1
DOP2,dap24_c + h2o_c + nad_c --> a24op_c + nadh_c + nh4_c,WP_005251090_1
DOPAtex,dopa_e <=> dopa_p,
DOPDH,25dop_c + h2o_c + nadp_c <=> akg_c + 2.0 h_c + nadph_c,WP_005237940_1
DORNabcpp,atp_c + h2o_c + orn__D_p --> adp_c + h_c + orn__D_c + pi_c,WP_005247432_1 and WP_005251656_1
DORNtex,orn__D_e <=> orn__D_p,
DPCOAK,atp_c + dpcoa_c --> adp_c + coa_c + h_c,WP_025432846_1
DPR,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,WP_005244966_1 or WP_005249332_1
DRBK,atp_c + drib_c --> 2dr5p_c + adp_c + h_c,
DRIBabc,atp_c + drib_e + h2o_c --> adp_c + drib_c + h_c + pi_c,WP_005244662_1 and WP_005248812_1 and WP_005248814_1
DRIBtex_1,5drib_c --> 5drib_e,
DRPA,2dr5p_c --> acald_c + g3p_c,WP_005251893_1
DRU1Ptex,5mdru1p_c --> 5mdru1p_e,
DSERDHr,nadp_c + ser__D_c <=> 2amsa_c + h_c + nadph_c,WP_005251916_1
DSERt2,h_e + ser__D_e --> h_c + ser__D_c,WP_025432629_1
DSERt2pp,h_p + ser__D_p --> h_c + ser__D_c,WP_005251594_1
DSERtex,ser__D_e <=> ser__D_p,
DTARTD,tartr__D_c --> h2o_c + oaa_c,WP_005239073_1
DTBTST,2.0 amet_c + dtbt_c + s_c --> btn_c + 2.0 dad_5_c + 2.0 met__L_c,WP_005247552_1
DTMPK,atp_c + dtmp_c <=> adp_c + dtdp_c,WP_025432290_1
DURADx,56dura_c + nad_c <=> h_c + nadh_c + ura_c,
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,WP_025432322_1 or WP_025432405_1
DVALabcpp,atp_c + h2o_c + val__D_p --> adp_c + h_c + pi_c + val__D_c,WP_025431853_1
DVALtex,val__D_e <=> val__D_p,
DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,WP_025432356_1
DXPS,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,WP_025432409_1
DXYLK,atp_c + dxyl_c --> adp_c + dxyl5p_c + h_c,WP_005243468_1 or WP_025433326_1
DXYLUDtex,dxyl_e <=> dxyl_p,
DXYLUDtpp,dxyl_p + h_p --> dxyl_c + h_c,
D_LACt2,h_e + lac__D_e --> h_c + lac__D_c,WP_005238001_1
E4PD,e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c,
ECHA191,cholenec8coa_c + h2o_c <=> hcholc8coa_c,WP_005244558_1 or WP_005244824_1
ECHA192,cholenec5coa_c + h2o_c <=> hcholc5coa_c,WP_005244558_1 or WP_005244824_1
ECHA193,cholenec3coa_c + h2o_c <=> hcholc3coa_c,WP_005265182_1
ECHA20,h2o_c + hipecoa_c --> hipohcoa_c,WP_005244596_1
ECOAH1,3hbcoa_c <=> b2coa_c + h2o_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005250863_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH12,2mp2coa_c + h2o_c --> 3hibutcoa_c,WP_005244016_1 or WP_005244985_1 or WP_005245231_1 or WP_005245666_1 or WP_005248805_1 or WP_005249167_1 or WP_005250878_1 or WP_005252879_1 or WP_005252928_1 or WP_080578324_1 or WP_143767495_1
ECOAH14,h2o_c + hp2coa_c <=> 3hhpcoa_c,WP_005240908_1 or WP_005241264_1
ECOAH15,h2o_c + nona2coa_c <=> 3hnonacoa_c,WP_005240908_1 or WP_005241264_1
ECOAH16,h2o_c + pdca2coa_c <=> 3hpdecacoa_c,WP_005240908_1 or WP_005241264_1
ECOAH17,h2o_c + pnona2coa_c <=> 3hpnonacoa_c,WP_005240908_1 or WP_005241264_1
ECOAH18,h2o_c + pocta2coa_c <=> 3hpoctacoa_c,WP_005240908_1 or WP_005241264_1
ECOAH19,h2o_c + php2coa_c <=> 3hphpcoa_c,WP_005240908_1 or WP_005241264_1
ECOAH1_1,3hbycoa_c <=> b2coa_c + h2o_c,WP_005249167_1 or WP_005250878_1
ECOAH2,3hhcoa_c <=> h2o_c + hx2coa_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005249167_1 or WP_005250863_1 or WP_005250878_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH20,h2o_c + phxa2coa_c <=> 3hphxacoa_c,WP_005240908_1 or WP_005241264_1
ECOAH21,h2o_c + ppt2coa_c <=> 3hpptcoa_c,WP_005240908_1 or WP_005241264_1
ECOAH22,h2o_c + pb2coa_c <=> 3hpbcoa_c,WP_005240908_1 or WP_005241264_1
ECOAH23,6ath2coa_c + h2o_c <=> 3h6athcoa_c,WP_005240908_1 or WP_005241264_1
ECOAH25,3hvacccoa_c <=> h2o_c + vacc2coa_c,WP_005240908_1 or WP_005241264_1
ECOAH26,3hhdccoa_c <=> h2o_c + hd2coa_c,WP_005240908_1 or WP_005241264_1
ECOAH27,3htdccoa_c <=> h2o_c + tde2coa_c,WP_005240908_1 or WP_005241264_1
ECOAH28,3hddccoa_c <=> dde2coa_c + h2o_c,WP_005240908_1 or WP_005241264_1
ECOAH29,3hodecoa_c <=> h2o_c + ode2coa_c,WP_005240908_1 or WP_005241264_1
ECOAH3,3hocoa_c <=> h2o_c + oc2coa_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005249167_1 or WP_005250863_1 or WP_005250878_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH30,3hhdd7coa_c <=> h2o_c + hdd7_2_coa_c,WP_005240908_1 or WP_005241264_1
ECOAH31,3hdd5coa_c <=> h2o_c + tded5_2_coa_c,WP_005240908_1 or WP_005241264_1
ECOAH32,3hptslacoa_c <=> h2o_c + ptsla2coa_c,WP_005240908_1 or WP_005241264_1
ECOAH33,3hhdd4coa_c <=> h2o_c + hdd4_2_coa_c,WP_005240908_1 or WP_005241264_1
ECOAH34,3hlnlccoa_c <=> h2o_c + lnlc2coa_c,WP_005240908_1 or WP_005241264_1
ECOAH35,3hhd710coa_c <=> h2o_c + hd710_2_coa_c,WP_005240908_1 or WP_005241264_1
ECOAH36,3hhd58coa_c <=> h2o_c + td58_2_coa_c,WP_005240908_1 or WP_005241264_1
ECOAH37,3hdd6coa_c <=> dd6_2_coa_c + h2o_c,WP_005240908_1 or WP_005241264_1
ECOAH38,3hdec4coa_c <=> dec4_2_coa_c + h2o_c,WP_005240908_1 or WP_005241264_1
ECOAH4,3hdcoa_c <=> dc2coa_c + h2o_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005249167_1 or WP_005250863_1 or WP_005250878_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH5,3hddcoa_c <=> dd2coa_c + h2o_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005250863_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH5_1,3hddcoa_c <=> h2o_c + trans_dd2coa_c,WP_005249167_1 or WP_005250878_1
ECOAH6,3htdcoa_c <=> h2o_c + td2coa_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005249167_1 or WP_005250863_1 or WP_005250878_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH7,3hhdcoa_c <=> h2o_c + hdd2coa_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005249167_1 or WP_005250863_1 or WP_005250878_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH8,3hodcoa_c <=> h2o_c + od2coa_c,WP_005240908_1 or WP_005241264_1 or WP_005245667_1 or WP_005248530_1 or WP_005248565_1 or WP_005250863_1 or WP_005251515_1 or WP_005252928_1 or WP_226955502_1
ECOAH9ir,2mb2coa_c + h2o_c --> 3hmbcoa_c,WP_005244016_1 or WP_005244985_1 or WP_005245231_1 or WP_005245666_1 or WP_005248805_1 or WP_005249167_1 or WP_005250878_1 or WP_005252879_1 or WP_005252928_1 or WP_025433341_1 or WP_080578324_1 or WP_143767495_1
EDA,2ddg6p_c --> g3p_c + pyr_c,WP_005250926_1 or WP_005251224_1 or WP_005251401_1
EDD,6pgc_c --> 2ddg6p_c + h2o_c,WP_025433211_1
EHGLAT,akg_c + e4hglu_c --> 4h2oglt_c + glu__L_c,WP_005250042_1
ENO,2pg_c <=> h2o_c + pep_c,WP_005238851_1 or WP_080578231_1
ENTCS,3.0 23dhba_c + 3.0 seramp_c --> 6.0 amp_c + enter_c + 10.0 h_c,
ENTERES,enter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + 2.0 h_c,WP_005248690_1
ENTERES2,feenter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + fe3_c + 2.0 h_c,WP_005248690_1
ENTERGLCT1,enter_c + udpg_c --> entermg_c + h_c + udp_c,WP_025431866_1
ENTERGLCT2,entermg_c + udpg_c --> h_c + salchs4_c + udp_c,WP_025431866_1
ENTERH,enter_c + h2o_c --> 23dhbzs3_c,WP_005248690_1
ETHAAL,etha_c --> acald_c + nh4_c,WP_005239502_1 and WP_005239503_1
ETHAt2pp,etha_p + h_p --> etha_c + h_c,WP_005239501_1
ETHAtex,etha_e <=> etha_p,
ETHSO3abcpp,atp_c + ethso3_p + h2o_c --> adp_c + ethso3_c + h_c + pi_c,WP_005244176_1 or ( WP_005244169_1 and WP_005244176_1 ) or ( WP_005244176_1 and WP_005246633_1 ) or ( WP_005244194_1 and WP_005248551_1 ) or ( WP_005250729_1 and WP_143767463_1 ) or ( WP_005244169_1 and WP_005244176_1 and WP_005246633_1 ) or ( WP_005244176_1 and WP_005246633_1 and WP_025432639_1 ) or ( WP_005246626_1 and WP_005246633_1 and WP_025432639_1 )
ETHSO3tex,ethso3_e <=> ethso3_p,
ETHSabc,atp_c + eths_e + h2o_c --> adp_c + eths_c + h_c + pi_c,WP_005244174_1 and WP_025432312_1
F1PP,f1p_c + h2o_c --> fru_c + pi_c,WP_005243022_1 or WP_005246502_1 or WP_005248850_1
F6PP,f6p_c + h2o_c --> fru_c + pi_c,WP_005243022_1 or WP_005246502_1 or WP_005248850_1
FA100ACPHi,dcaACP_c + h2o_c --> ACP_c + dca_c + h_c,
FA120ACPHi,ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c,WP_005243707_1
FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,WP_005243707_1
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,WP_005243707_1
FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,WP_005243707_1
FA161ACPHi,h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c,WP_005243707_1
FA80ACPHi,h2o_c + ocACP_c --> ACP_c + h_c + octa_c,
FACOAE100,dcacoa_c + h2o_c --> coa_c + dca_c + h_c,WP_005250641_1
FACOAE120,ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c,WP_005250641_1
FACOAE140,h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c,WP_005240981_1 or WP_005247475_1 or WP_005250641_1 or WP_005251384_1
FACOAE141,h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c,WP_005250641_1
FACOAE160,h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c,WP_005240981_1 or WP_005247475_1 or WP_005250641_1 or WP_005251384_1
FACOAE161,h2o_c + hdcoa_c --> coa_c + h_c + hdcea_c,WP_005250641_1 or WP_005251384_1
FACOAE180,h2o_c + stcoa_c --> coa_c + h_c + ocdca_c,WP_005240981_1 or WP_005247475_1 or WP_005250641_1
FACOAE181,h2o_c + odecoa_c --> coa_c + h_c + ocdcea_c,WP_005250641_1
FACOAE1829Z12Z,h2o_c + lnlccoa_c --> coa_c + h_c + lnlc_c,WP_005250641_1
FACOAE50,h2o_c + ptcoa_c --> coa_c + h_c + pta_c,WP_005250641_1
FACOAE60,h2o_c + hxcoa_c --> coa_c + h_c + hxa_c,WP_005250641_1
FACOAE70,h2o_c + hptcoa_c --> coa_c + h_c + hpta_c,WP_005250641_1
FACOAE80,h2o_c + occoa_c --> coa_c + h_c + octa_c,WP_005250641_1
FACOAE90,h2o_c + nonacoa_c --> coa_c + h_c + nona_c,WP_005250641_1
FACOAL100t2pp,atp_c + coa_c + dca_p + h_p --> amp_c + dcacoa_c + h_c + ppi_c,WP_005240572_1 or WP_005243375_1 or WP_005250849_1 or WP_005250864_1 or WP_005250931_1 or WP_005251113_1 or WP_005252937_1
FACOAL120t2pp,atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c,WP_005240572_1 or WP_005243375_1 or WP_005250849_1 or WP_005250864_1 or WP_005250931_1 or WP_005251113_1 or WP_005252937_1
FACOAL140,atp_c + coa_c + ttdca_c --> amp_c + ppi_c + tdcoa_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1 or WP_005250931_1
FACOAL140_ISO,atp_c + coa_c + fa1_c <=> amp_c + fa1coa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1
FACOAL140t2pp,atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c,WP_005240572_1 or WP_005243375_1 or WP_005250849_1 or WP_005250864_1 or WP_005250931_1 or WP_005251113_1 or WP_005252937_1
FACOAL141,atp_c + coa_c + ttdcea_c --> amp_c + ppi_c + tdecoa_c,WP_005250931_1
FACOAL141t2pp,atp_c + coa_c + h_p + ttdcea_p --> amp_c + h_c + ppi_c + tdecoa_c,WP_005240572_1 or WP_005243375_1 or WP_005250849_1 or WP_005250864_1 or WP_005250931_1 or WP_005251113_1 or WP_005252937_1
FACOAL150_ISO,atp_c + coa_c + fa3_c <=> amp_c + fa3coa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1
FACOAL150_anteiso,atp_c + coa_c + fa4_c <=> amp_c + fa4coa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1
FACOAL160,atp_c + coa_c + hdca_c --> amp_c + pmtcoa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1 or WP_005250931_1 or WP_025432121_1 or WP_025432840_1
FACOAL160_ISO,atp_c + coa_c + fa6_c <=> amp_c + fa6coa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1
FACOAL160t2pp,atp_c + coa_c + h_p + hdca_p --> amp_c + h_c + pmtcoa_c + ppi_c,WP_005240572_1 or WP_005243375_1 or WP_005250849_1 or WP_005250864_1 or WP_005250931_1 or WP_005251113_1 or WP_005252937_1
FACOAL161,atp_c + coa_c + hdcea_c --> amp_c + hdcoa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1 or WP_005250931_1
FACOAL161t2pp,atp_c + coa_c + h_p + hdcea_p --> amp_c + h_c + hdcoa_c + ppi_c,WP_005240572_1 or WP_005243375_1 or WP_005250849_1 or WP_005250864_1 or WP_005250931_1 or WP_005251113_1 or WP_005252937_1
FACOAL170_ISO,atp_c + coa_c + fa11_c <=> amp_c + fa11coa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1
FACOAL170_anteiso,atp_c + coa_c + fa12_c <=> amp_c + fa12coa_c + ppi_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1
FACOAL180,atp_c + coa_c + ocdca_c --> amp_c + ppi_c + stcoa_c,WP_005250931_1
FACOAL180_2,atp_c + coa_c + ocdca_c <=> amp_c + ppi_c + strcoa_c,WP_005237951_1 or WP_005243608_1 or WP_005250849_1
FACOAL180t2pp,atp_c + coa_c + h_p + ocdca_p --> amp_c + h_c + ppi_c + stcoa_c,WP_005240572_1 or WP_005243375_1 or WP_005250849_1 or WP_005250864_1 or WP_005250931_1 or WP_005251113_1 or WP_005252937_1
