,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
KAS2,50.08879989466933,44.73842925188025,51.88343295215954,32.02596260908389,38.17022578547248,33.391529269745845,39.8343378928597,41.28833382688556,40.01235237445194,84.48468152668516,84.71344961393956,98.97126707953817,30.319799073499922,36.63081744522261,32.163919115906616,53.05708353933775,67.9563376177236,51.90158320936897,50.70038550315718,60.34677690773977,44.9277189006379,64.1029858749597,67.92528753606497,65.39004507783585
KAS3,50.08879989466933,44.73842925188025,51.88343295215954,32.02596260908389,38.17022578547248,33.391529269745845,39.8343378928597,41.28833382688556,40.01235237445194,84.48468152668516,84.71344961393956,98.97126707953817,30.319799073499922,36.63081744522261,32.163919115906616,53.05708353933775,67.9563376177236,51.90158320936897,50.70038550315718,60.34677690773977,44.9277189006379,64.1029858749597,67.92528753606497,65.39004507783585
KAS4,50.08879989466933,44.73842925188025,51.88343295215954,32.02596260908389,38.17022578547248,33.391529269745845,39.8343378928597,41.28833382688556,40.01235237445194,84.48468152668516,84.71344961393956,98.97126707953817,30.319799073499922,36.63081744522261,32.163919115906616,53.05708353933775,67.9563376177236,51.90158320936897,50.70038550315718,60.34677690773977,44.9277189006379,64.1029858749597,67.92528753606497,65.39004507783585
KAS6,50.08879989466933,44.73842925188025,51.88343295215954,32.02596260908389,38.17022578547248,33.391529269745845,39.8343378928597,41.28833382688556,40.01235237445194,84.48468152668516,84.71344961393956,98.97126707953817,30.319799073499922,36.63081744522261,32.163919115906616,53.05708353933775,67.9563376177236,51.90158320936897,50.70038550315718,60.34677690773977,44.9277189006379,64.1029858749597,67.92528753606497,65.39004507783585
KAS7,50.08879989466933,44.73842925188025,51.88343295215954,32.02596260908389,38.17022578547248,33.391529269745845,39.8343378928597,41.28833382688556,40.01235237445194,84.48468152668516,84.71344961393956,98.97126707953817,30.319799073499922,36.63081744522261,32.163919115906616,53.05708353933775,67.9563376177236,51.90158320936897,50.70038550315718,60.34677690773977,44.9277189006379,64.1029858749597,67.92528753606497,65.39004507783585
KAS8,50.08879989466933,44.73842925188025,51.88343295215954,39.82564353970938,39.68943875205848,33.391529269745845,39.8343378928597,41.28833382688556,40.01235237445194,99.60997044480067,117.17460770836406,98.97126707953817,35.47349560475712,38.961207421857004,47.13677801469072,53.05708353933775,67.9563376177236,51.90158320936897,50.70038550315718,60.34677690773977,44.9277189006379,64.1029858749597,67.92528753606497,65.39004507783585
KAS_HP,3.2967150673773897,5.14234818987129,4.6695089656943605,3.1907785625286404,3.41822917481843,2.0635214717258608,0.48284045930739,3.07015815635816,2.12267121349878,3.2540462214272496,3.88424113950378,3.06729133510965,1.338622475651212,1.89344185601548,1.109100659169194,1.015446574915556,1.2374446910662857,2.12462621324902,3.0766352770563197,3.0500176054453396,3.13449201632358,1.4459320122171382,2.3626186969066,1.282157746624232
KAS_HP2,7.125158371428549,8.74199192278119,9.68490748440312,4.1361944329075,4.55763889975791,2.53250362439083,2.89704275584434,4.65817099585376,3.18400682024817,6.267051982008029,7.58351841522167,5.79377252187379,1.606346970781454,2.184740603094785,2.079563735942238,1.5231698623733338,1.9592874275216199,3.49045735033768,6.089173985840629,6.53575201166858,5.74656869659323,1.6869206809199941,2.868894131958016,1.389004225509585
KAT1,205.1407537087416,160.58818775798065,190.75808848744035,62.51562442880204,67.9847802547221,64.25055491510075,41.765699730089246,46.793445003803576,43.83316055874971,191.3861259120916,175.16077900524232,196.85194168437104,71.81709581868745,76.61157048185717,68.90287845088613,65.83478627369185,63.2127996353028,59.03425692527636,228.0555899117989,200.4297283578364,220.45927181475793,90.61173943227388,82.10099971750458,79.38693381181697
KAT2,205.1407537087416,160.58818775798065,190.75808848744035,62.51562442880204,67.9847802547221,64.25055491510075,41.765699730089246,46.793445003803576,43.83316055874971,191.3861259120916,175.16077900524232,196.85194168437104,71.81709581868745,76.61157048185717,68.90287845088613,65.83478627369185,63.2127996353028,59.03425692527636,228.0555899117989,200.4297283578364,220.45927181475793,90.61173943227388,82.10099971750458,79.38693381181697
