,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
TARTRt7pp,3478.4307351065504,3519.0610459918103,3482.88073658385,1075.35048972828,1264.85869092342,1288.7223384722,1407.14655343386,1368.00411961213,1696.38977512922,5556.704928003989,4431.04795021604,6227.026392675761,1010.61051613543,1103.75361873345,802.7927969002701,910.004701309613,912.85002074731,945.150563919178,5759.93707892578,6025.918170452329,6128.002672967989,1835.4152534865304,1668.7994124133802,1859.15886757354
TAUDO,301.329174145858,270.3208862244604,282.84017313145495,197.7656073063499,215.77532271998348,133.777405377737,165.2765935517756,156.0269599263282,131.1901670236759,261.2762886337197,285.788962853783,226.83797225609086,154.0099149274406,135.0263209868402,104.13896708558511,93.33381551893466,104.91401957031387,93.0720784317358,259.017380017295,325.2214344314248,223.52887350734318,57.28512027111509,67.39382242438656,49.780756563444484
TAURabc,2.02234345064334,15.367078803457696,9.86651766737636,4.49467289332612,1.80565123615049,2.6755481075547314,2.2955082437746603,6.039753287470781,8.073241047610798,3.43784590307526,8.79350654934716,4.5367594451218105,5.72764146424365,2.7697706869095327,5.27285909294102,4.0230092896092495,1.9610097115946497,8.657867761091701,7.92288456523491,12.42884462795256,1.6557694333877302,6.87421443253381,7.22076668832713,9.143404266755109
TDPDRE,730.0659856822468,720.1571930165851,769.588378055356,307.885093192839,306.960710145583,305.90433363042405,544.035453774593,530.491663749518,536.870529666119,747.7314839188703,868.7984470754996,780.9707330531115,442.3012019610371,470.861016774621,448.193022899986,543.910855955171,506.92101044721704,461.752947258224,984.8754967245861,1033.6655782247208,1049.7578207678212,472.0293910339891,433.246001299628,435.835603381994
TDPDRR,75.8378793991254,92.20247282074621,83.865400172699,107.872149439827,126.395586530534,118.615966101593,126.25295340760599,192.265479651153,170.547217130778,86.5191218940608,82.6589615638633,87.4946464416349,129.190135249051,146.797846406205,125.230403457349,207.58727934383703,130.407145821044,200.57393646529098,80.44775097007759,72.5015936630566,94.37885770310059,174.14676562418998,224.64607474795503,196.075224831526
TDPGDH,1125.4341302830212,1138.56083861982,1230.0258691995862,1213.561681198053,1056.305973148039,1161.187878678754,1290.075633001357,1334.785476531043,1253.3706726415771,1246.2191398647838,1294.404164063902,1115.394715007804,1421.091487739563,1413.27549299559,1397.307659629369,1448.283344259331,1435.459108887286,1448.028383042588,1234.1416342000553,1319.5290046676291,1352.763627077776,1338.180409533248,1318.993381734423,1350.1760300575052
TECA1S45,455.027276394752,429.57970291484,453.859812699312,750.610373185463,688.8559465914128,723.289838408963,904.430248047214,907.976244216441,830.534672772961,494.47683572565904,506.505977242397,497.099213486918,1160.16559881291,977.036609807338,1270.75904139878,1504.6054743138598,1348.19417672132,1420.61180179913,504.017348880713,385.2941834665289,438.778899847749,1400.04833942605,1424.0956524200699,1368.4628385910198
TECA2S45,455.027276394752,429.57970291484,453.859812699312,750.610373185463,688.8559465914128,723.289838408963,904.430248047214,907.976244216441,830.534672772961,494.47683572565904,506.505977242397,497.099213486918,1160.16559881291,977.036609807338,1270.75904139878,1504.6054743138598,1348.19417672132,1420.61180179913,504.017348880713,385.2941834665289,438.778899847749,1400.04833942605,1424.0956524200699,1368.4628385910198
TECA3S45,455.027276394752,429.57970291484,453.859812699312,750.610373185463,688.8559465914128,723.289838408963,904.430248047214,907.976244216441,830.534672772961,494.47683572565904,506.505977242397,497.099213486918,1160.16559881291,977.036609807338,1270.75904139878,1504.6054743138598,1348.19417672132,1420.61180179913,504.017348880713,385.2941834665289,438.778899847749,1400.04833942605,1424.0956524200699,1368.4628385910198
TGBPA,8.08937380257338,6.9850358197535005,3.28883922245878,6.7420093399891785,11.736733034978199,0.891849369184911,4.59101648754931,2.0132510958236,3.0274653928540496,5.72974317179211,7.034805239477731,0.6481084921602579,4.45483224996728,6.92442671727383,2.63642954647051,6.436814863374809,1.9610097115946497,4.32893388054585,4.87562127091379,10.3573705232938,4.96730830016319,6.87421443253381,2.40692222944238,3.0478014222517
THDPS,233.58066854930598,239.58672861754468,235.1520044058031,303.390420299513,250.9855218249186,286.283647508356,477.465714705128,469.087505326898,483.385307725697,231.4816241404007,210.1648065293973,209.3390429677636,233.5604908197135,261.050887241223,234.6422296358748,603.4513934413881,646.152699970437,549.7746028293229,234.0298210038618,211.2903586751938,211.9384874736292,453.69815254723125,434.0483087094419,440.9152724190801
