,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-H-R4,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
PG181abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
PGCD,467.67720558675614,449.4157784640579,344.67489527075804,0,0,0,341.73665190803126,960.6882525871415,187.39155555277387,95.48812451477497,100.44152866900991,86.09855408821807,0,0,0,1188.7127149753878,729.7112158211436,601.0145796612835,316.1879033308357,325.81584610390723,413.982215968119,305.02254921748454,616.9232695443551,520.0336356799654,0,0,0,301.9752769372076,263.0111234967993,271.07722884776666,111.26118173192978,336.6608651509043,592.0236426094796,417.57915457782406,0,0,0,135.20528012540981,142.9243814857423,210.91922127216156,774.1684510454633,522.5748169600537,381.74394354442256
PGI,1038.13955360202,904.94012090724,917.0237973507599,0,0,0,1458.2704998926001,1978.41908144893,1092.19844065239,1358.3955777747,1202.27807428492,1087.27484409974,0,0,0,2140.20676530412,1674.0313488355898,1737.5806124906,590.7502269709349,680.452746330642,728.528992336676,252.69601321062999,319.067945306562,312.218505322431,0,0,0,335.046004903192,287.496787836263,300.712492075418,509.70652565109395,414.238656882141,488.89653862226896,412.89837940256007,0,0,0,617.742199896785,701.548885601806,769.6099027349339,269.493995976075,266.440506416426,231.11905544452202
PGK,1276.304939753,725.828298519379,437.035195474618,0,0,0,860.8269496552422,2119.51959812191,326.789749592239,243.648730616732,172.014897699584,171.979870445347,0,0,0,2359.41711172362,1193.38507931405,839.404978019189,608.066468122282,627.6020475865149,666.257299200677,559.482378248571,1083.53817382333,1200.28466224907,0,0,0,397.4272322909231,479.034180846838,394.213809654511,163.881369978758,752.303947573007,1514.51849793513,814.184835774179,0,0,0,210.016524200003,269.040592051178,265.488438403622,1040.12294178435,983.734843760075,629.7568365797911
PGL,196.243662952831,178.166449391091,140.80336147231,0,0,0,167.20654669912702,159.810481691059,133.49609780158198,107.50114663115,106.76302348034599,113.615333359474,0,0,0,182.866285997453,200.908300278625,153.465261285583,182.15353672666402,235.14205114317198,210.029966609096,121.409322308039,127.77780028406,124.802406165636,0,0,0,104.804318656049,148.28701394367096,119.13022315370199,72.3321396433673,155.289338275804,166.773411621436,151.945163381627,0,0,0,111.821271989286,90.302722199293,70.1429038184165,165.275230658804,150.96042643188102,130.820767562732
PGLCNDH,7.692059302413759,6.47216897788045,10.2669117740226,0,0,0,8.382386246130379,11.40851525493,8.93080351784874,7.1872781892841395,7.445316111129401,8.18262120434705,0,0,0,14.734078549481401,12.473695996942599,13.077240310049698,9.324129850725019,8.56645941182287,13.1517815903229,9.583399291143019,11.7987359790782,8.42876636419448,0,0,0,12.5340951474575,8.31444676947537,10.9585665215572,10.4745515789141,8.49343064643719,11.1098584331932,9.991654701042991,0,0,0,6.76905498677279,8.349156797014919,16.7999612292361,19.7622375743127,12.080213195164498,11.0732716982019
PGLYCP,135.66869594632277,157.95001146018362,192.89222406459567,0,0,0,161.20652285979168,169.11983013908167,180.55754938259392,101.5459732743144,117.0881316721954,108.69127812145956,0,0,0,249.66077542176828,247.32680833282106,228.6209305968687,130.95407370705766,145.99279556928644,169.08010120286337,144.04495867055465,149.80629139393443,127.21062512683432,0,0,0,139.12845613677854,124.5641428858099,144.11104146090787,115.46749772031265,153.4167708891882,144.36539206974155,160.04650503112117,0,0,0,172.03948843005617,138.85966041351128,137.342748735361,152.1004056092621,140.23184548232936,167.1638131363174
PGM,1183.4233236763569,804.8760252492225,691.612701708036,0,0,0,983.4744957828337,1119.6773211798456,571.882061786418,961.9658479343302,742.4946850070656,729.4843009963904,0,0,0,1606.1782738773604,1124.9842381504895,948.4076222506023,589.5014595802138,475.6562886971475,676.0215006844015,588.9381024501813,1275.4559111851452,1060.3954725912238,0,0,0,667.7780230099299,557.5256095238112,633.4169283508672,943.6993635112974,634.2653248095291,1145.1941644836675,757.7454889493686,0,0,0,915.1410702896732,1073.9652216791828,1083.781440467071,549.5081880737985,578.2451700762313,600.2281120512519
PGM_1,170.956017996146,188.92915735430802,179.81762621359505,0,0,0,135.088772029743,152.41776380586398,121.536587003768,129.884384420635,126.99180687662201,144.969979213299,0,0,0,178.118638464842,190.888446117147,156.849958777596,134.53387356046102,155.067434776726,160.910055063421,174.029827618303,198.005383053148,152.99273400554702,0,0,0,141.24961070019398,169.111270531439,153.007512131634,134.767065196422,153.149261262529,166.45957381258899,175.619083979594,0,0,0,118.326597560989,101.288454826944,88.7822768610726,107.85659014438299,112.86129250867,119.10865326655701
PGMT,446.71634398767964,382.8033426917159,525.7496943546423,0,0,0,457.7665246834152,292.1492586482459,511.7738711532446,1134.4605244771512,1193.7089368740046,999.8004510479624,0,0,0,342.64918226738473,398.0335943942425,429.318106884631,306.53076884258485,374.60110648310143,314.84568049560903,527.4985180376394,340.3433256092615,429.937914543365,0,0,0,393.66700374668494,438.9112542345067,406.4685507108762,1012.8149085753132,356.92471937035634,340.38848747574275,333.32520142308334,0,0,0,1280.2304905502933,1165.5862317937958,1103.5244605977766,228.69136615846378,223.3572285875171,247.9419105244827
PGMT_B,138.649368926008,124.571072574261,191.718862718993,0,0,0,183.971319191388,84.2404766424028,235.384917066083,399.612667324198,455.007148753738,365.900751730669,0,0,0,82.5108398770959,99.585081155919,96.07925380736499,86.58120575673229,85.6645941182287,64.1647526073331,129.052524196681,103.552735986591,102.065985973145,0,0,0,126.883609338878,137.379070016744,141.518692391292,391.269863703688,129.541536709833,104.194152537292,125.930855196028,0,0,0,400.253342269825,342.425286003888,253.838830251962,68.13547581591381,78.73257830694641,92.7031592169981
PGP120abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
