,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
3AMACHYD,151.1856911102916,150.1049396184431,168.23073729908398,0,0,0,167.4110556030201,156.1773115669813,191.2738550461213,268.4334974671435,287.399357851834,247.591122384698,0,0,0,157.53093208342761,186.83225990856317,184.1636494359365,172.3465827409827,196.92891371532488,163.81630114995272,194.9925918451671,142.83306334731918,172.86884653907032,0,0,0,163.3737652109826,185.0894455798807,168.29315591986938,161.76834852086512,187.961643265787,144.8428489596769,0,0,0,262.14991258785193,241.30593234451902,222.5200155842188,115.1236612850106,112.56627432734601,137.5931650494846
3HBCOAHL,206.59456763402434,234.62934925907854,224.0254307465406,0,0,0,182.47444261040437,200.5150187905152,139.5192999238906,85.15045825976024,68.14911886865629,73.58275028206816,0,0,0,250.1400254900486,242.514040402866,250.56483459393257,133.56230547535435,129.10900720622138,196.13314254979568,159.0445710786187,267.8899594221558,197.7700209364553,0,0,0,214.87736931305892,145.5671749592298,177.86490488867412,178.26622309438162,149.64257363690908,192.6723830190344,0,0,0,79.82661778968992,87.12925610828933,81.99392117353707,108.22773481868673,120.5280725115223,146.2862598894834
3HCINNMH,0.291114937953064,0.7230488420926919,0.7196584132069521,0,0,0,1.17259898859874,1.5382469853062999,1.4533260408738602,1.83998589276793,1.1870235868516001,0.8682330416763209,0,0,0,0.7956107680981178,1.09374925970952,1.1279929528538402,1.67897304180207,1.00473935569044,2.13504657896858,0.8972051772016869,0.9979602679288689,1.2234681062298898,0,0,0,1.18172705396732,1.0956669082952801,0.8481296554637049,0.9809547043712858,0.991010421436486,0.43089670323745705,0,0,0,0.43764593086452797,0.7557680207658308,1.46635924602451,2.20286539896443,1.6092996329718403,1.85262676918001
3HOXPACt2pp,56.670374588196495,55.313236420090895,73.6591552341234,0,0,0,54.3003531643417,40.084906734746596,61.7663567371391,53.35959089027,45.106896300360646,57.158675243691114,0,0,0,36.5980953325134,44.94315139897316,43.4653284499679,27.36726058137371,25.549086473271043,33.869602548183465,58.6772185889903,55.698657453779994,48.794786824933205,0,0,0,59.677216225349895,52.2007019880678,61.368238641766695,43.6078954943235,38.385136990306506,40.504290104321,0,0,0,47.9659940227523,42.86284346343351,43.7463841730645,31.0316690984554,32.9482924855814,40.9002986734356
3hoxpactex,6.986758510873539,5.06134189464884,5.03760889244866,0,0,0,7.306193698192152,3.89086002165712,6.378486512724169,6.8488363786361806,5.65581826676349,6.29468955215333,0,0,0,6.364886144784942,7.45738131620129,5.48956570388867,5.9603542983973385,4.66486129427702,5.3376164474214605,4.3065848505681,6.11250664106433,6.54915280393646,0,0,0,3.939090179891081,6.10442991764511,5.87632689856996,6.42079442861205,5.15325419146973,5.601657142086951,0,0,0,5.33928035654724,5.50630986557962,7.20959962628716,6.8001497098467185,3.38799922730913,5.9141546862285
3HPAOX,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3HPPPNH,0.291114937953064,0.7230488420926919,0.7196584132069521,0,0,0,1.17259898859874,1.5382469853062999,1.4533260408738602,1.83998589276793,1.1870235868516001,0.8682330416763209,0,0,0,0.7956107680981178,1.09374925970952,1.1279929528538402,1.67897304180207,1.00473935569044,2.13504657896858,0.8972051772016869,0.9979602679288689,1.2234681062298898,0,0,0,1.18172705396732,1.0956669082952801,0.8481296554637049,0.9809547043712858,0.991010421436486,0.43089670323745705,0,0,0,0.43764593086452797,0.7557680207658308,1.46635924602451,2.20286539896443,1.6092996329718403,1.85262676918001
3MBt2pp,705.468532972925,351.907871446513,540.421135470585,0,0,0,265.638770878715,63.7015222150374,270.15716293133,316.170909240623,244.526858891429,218.939432009379,0,0,0,171.374559448335,113.650491258908,115.356079311852,240.764734194417,146.189576252958,173.618105898854,622.8398340134111,735.808580047305,950.994562101279,0,0,0,247.867249569646,98.53175982455379,189.920462134194,184.95455062418597,188.820518964365,101.383838604585,0,0,0,525.96287971299,1137.43087125258,1896.3690949211896,71.736790601059,58.188886729034394,37.123790259337895
3MBt4pp,705.468532972925,351.907871446513,540.421135470585,0,0,0,265.638770878715,63.7015222150374,270.15716293133,316.170909240623,244.526858891429,218.939432009379,0,0,0,171.374559448335,113.650491258908,115.356079311852,240.764734194417,146.189576252958,173.618105898854,622.8398340134111,735.808580047305,950.994562101279,0,0,0,247.867249569646,98.53175982455379,189.920462134194,184.95455062418597,188.820518964365,101.383838604585,0,0,0,525.96287971299,1137.43087125258,1896.3690949211896,71.736790601059,58.188886729034394,37.123790259337895
3MBZALDH,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
