,GeneID
WP_025433357_1,645062079
WP_005244469_1,491386589
WP_005237961_1,491380078
WP_025431926_1,645060648
WP_037182701_1,739320219
WP_005245231_1,491387357
WP_005251124_1,491393262
WP_005251389_1,491393527
WP_005246609_1,491388736
WP_005238365_1,491380482
WP_005239743_1,491381861
WP_005240608_1,491382726
WP_037179238_1,739316746
WP_005241721_1,491383840
WP_005238136_1,491380253
WP_005238442_1,491380559
WP_025432363_1,645061085
WP_005241038_1,491383157
WP_005247902_1,491390029
WP_037180746_1,739318258
WP_005238828_1,491380946
WP_005238750_1,491380868
WP_025432418_1,645061140
WP_025432198_1,645060920
WP_005254252_1,491396400
WP_005244444_1,491386564
WP_005239327_1,491381445
WP_005247766_1,491389893
WP_005247765_1,491389892
WP_005239314_1,491381432
WP_025432197_1,645060919
WP_005247768_1,491389895
WP_025431781_1,645060503
WP_025433218_1,645061940
WP_005244787_1,491386909
WP_025432458_1,645061180
WP_025433620_1,645062342
WP_005247983_1,491390110
WP_005249089_1,491391222
WP_005239570_1,491381688
WP_025432519_1,645061241
WP_005243057_1,491385176
WP_025431623_1,645060345
WP_025432225_1,645060947
WP_005250676_1,491392813
WP_025432481_1,645061203
WP_005239273_1,491381391
WP_025431984_1,645060706
WP_005250457_1,491392594
WP_005244287_1,491386406
WP_005248570_1,491390698
WP_025431636_1,645060358
WP_005244588_1,491386709
WP_005241339_1,491383458
WP_025432195_1,645060917
WP_005243653_1,491385772
WP_005243655_1,491385774
WP_005243657_1,491385776
WP_005243611_1,491385730
WP_005240264_1,491382382
WP_025433438_1,645062160
WP_025432924_1,645061646
WP_025433593_1,645062315
WP_005251559_1,491393697
WP_005261289_1,491403447
WP_085990787_1,1194662103
WP_005245512_1,491387638
WP_005252757_1,491394895
WP_005244092_1,491386211
WP_005244097_1,491386216
WP_025431960_1,645060682
WP_025431681_1,645060403
WP_187300235_1,1897646048
WP_005244486_1,491386606
WP_005248946_1,491391076
WP_005251515_1,491393653
WP_005248565_1,491390693
WP_005242233_1,491384352
WP_005250863_1,491393001
WP_005240312_1,491382430
WP_005248530_1,491390658
WP_005240908_1,491383027
WP_005246568_1,491388695
WP_025432832_1,645061554
WP_025431722_1,645060444
WP_025433261_1,645061983
WP_005244870_1,491386993
WP_025432304_1,645061026
WP_005247712_1,491389839
WP_043943950_1,763062188
WP_005247713_1,491389840
WP_005241796_1,491383915
WP_005240299_1,491382417
WP_016880030_1,515390630
WP_025432889_1,645061611
WP_043944116_1,763062362
WP_005252021_1,491394159
WP_005248316_1,491390443
WP_005240414_1,491382532
WP_005243958_1,491386077
WP_005246211_1,491388338
WP_005238969_1,491381087
WP_025433179_1,645061901
WP_005242882_1,491385001
WP_037181097_1,739318609
WP_005244367_1,491386486
WP_025431870_1,645060592
WP_025431869_1,645060591
WP_080578207_1,1171028067
WP_025432838_1,645061560
WP_005239890_1,491382008
WP_005237815_1,491379931
WP_005562874_1,491720986
WP_005245019_1,491387142
WP_025431920_1,645060642
WP_005249240_1,491391374
WP_005249238_1,491391372
WP_005248910_1,491391040
WP_025432946_1,645061668
WP_025433631_1,645062353
WP_005249132_1,491391265
WP_025432298_1,645061020
WP_005251969_1,491394107
WP_005242135_1,491384254
WP_025432629_1,645061351
WP_005252943_1,491395082
WP_025433888_1,645062610
WP_005240761_1,491382880
WP_005249330_1,491391465
WP_025432370_1,645061092
WP_025432353_1,645061075
WP_080578250_1,1171028110
WP_005250334_1,491392471
WP_025433534_1,645062256
WP_005238072_1,491380189
WP_005248341_1,491390468
WP_005247669_1,491389796
WP_005244219_1,491386338
WP_005248344_1,491390471
WP_005240079_1,491382197
WP_025431878_1,645060600
WP_025432524_1,645061246
WP_037179214_1,739316722
WP_005238658_1,491380775
WP_005244086_1,491386205
WP_005248813_1,491390943
WP_005251624_1,491393762
WP_005244558_1,491386679
WP_025433531_1,645062253
WP_005240376_1,491382494
WP_009478121_1,497120336
WP_005239148_1,491381266
WP_005250844_1,491392982
WP_005252341_1,491394479
WP_005244441_1,491386561
WP_005249181_1,491391314
WP_005238946_1,491381064
WP_005244442_1,491386562
WP_005242411_1,491384530
WP_005245205_1,491387331
WP_005240723_1,491382842
WP_025431780_1,645060502
WP_005242818_1,491384937
WP_005250602_1,491392739
WP_005240731_1,491382850
WP_005250735_1,491392872
WP_005251635_1,491393773
WP_005248089_1,491390216
WP_005252033_1,491394171
WP_005250877_1,491393015
WP_005262144_1,491404304
WP_005256369_1,491398523
WP_037179235_1,739316743
WP_005250771_1,491392908
WP_005250764_1,491392901
WP_005241759_1,491383878
WP_025433075_1,645061797
WP_005244970_1,491387093
WP_005239236_1,491381354
WP_005262316_1,491404476
WP_005250083_1,491392220
WP_005248177_1,491390304
WP_025432960_1,645061682
WP_005237765_1,491379880
WP_179443151_1,1869557708
WP_005248476_1,491390603
WP_005240602_1,491382720
WP_187300232_1,1897646045
WP_005252086_1,491394224
WP_005239003_1,491381121
WP_025432847_1,645061569
WP_005247681_1,491389808
WP_005248057_1,491390184
WP_025432846_1,645061568
WP_025431576_1,645060298
WP_005249332_1,491391467
WP_005242938_1,491385057
WP_005242941_1,491385060
WP_005248814_1,491390944
WP_025431785_1,645060507
WP_005251893_1,491394031
WP_005251916_1,491394054
WP_005239073_1,491381191
WP_025432290_1,645061012
WP_005238835_1,491380953
WP_025432828_1,645061550
WP_025432405_1,645061127
WP_025432356_1,645061078
WP_025432409_1,645061131
WP_025432372_1,645061094
WP_005244599_1,491386720
WP_037180448_1,739317957
WP_005241264_1,491383383
WP_005242640_1,491384759
WP_005250878_1,491393016
WP_005250926_1,491393064
WP_005251224_1,491393362
WP_005251401_1,491393539
WP_005239484_1,491381602
WP_025433211_1,645061933
WP_080578231_1,1171028091
WP_005238851_1,491380969
WP_005240106_1,491382224
WP_005248690_1,491390819
WP_025431866_1,645060588
WP_005245937_1,491388063
WP_005239503_1,491381621
WP_005252971_1,491395110
WP_005239502_1,491381620
WP_005239501_1,491381619
WP_005246626_1,491388753
WP_005250641_1,491392778
WP_005251384_1,491393522
WP_005247475_1,491389602
WP_005247696_1,491389823
WP_005243375_1,491385494
WP_005251113_1,491393251
WP_005250864_1,491393002
WP_005250931_1,491393069
WP_005252937_1,491395075
WP_005240572_1,491382690
WP_025432223_1,645060945
WP_005242767_1,491384886
WP_050983268_1,916244622
WP_005241881_1,491384000
WP_005243608_1,491385727
WP_005237951_1,491380068
WP_005239393_1,491381511
WP_025433824_1,645062546
WP_005238002_1,491380119
WP_005240334_1,491382452
WP_005240335_1,491382453
WP_005238278_1,491380395
WP_005252413_1,491394551
WP_025431691_1,645060413
WP_025431690_1,645060412
WP_005251849_1,491393987
WP_005241845_1,491383964
WP_037181431_1,739318945
WP_005241877_1,491383996
WP_025432492_1,645061214
WP_005250385_1,491392522
WP_005243692_1,491385811
WP_025432019_1,645060741
WP_005238434_1,491380551
WP_005238998_1,491381116
WP_025432543_1,645061265
WP_005240981_1,491383100
WP_005238148_1,491380265
WP_025433275_1,645061997
WP_005250884_1,491393022
WP_025433276_1,645061998
WP_025433229_1,645061951
WP_005251663_1,491393801
WP_005240762_1,491382881
WP_025433614_1,645062336
WP_005244524_1,491386644
WP_005249236_1,491391370
WP_005238706_1,491380823
WP_005248068_1,491390195
WP_005248133_1,491390260
WP_005243961_1,491386080
WP_037182467_1,739319985
WP_143767481_1,1712609325
WP_005243084_1,491385203
WP_005240901_1,491383020
WP_005247900_1,491390027
WP_005246002_1,491388128
WP_005246079_1,491388206
WP_080578252_1,1171028112
WP_025431688_1,645060410
WP_037180830_1,739318342
WP_005239845_1,491381963
WP_037180730_1,739318242
WP_037179670_1,739317178
WP_005241802_1,491383921
WP_005239843_1,491381961
WP_005240579_1,491382697
WP_005238848_1,491380966
WP_025432142_1,645060864
WP_005238847_1,491380965
WP_005248500_1,491390628
WP_005243794_1,491385913
WP_005244164_1,491386283
WP_005244346_1,491386465
WP_037180488_1,739317997
WP_025433202_1,645061924
WP_025431816_1,645060538
WP_005240282_1,491382400
WP_005244090_1,491386209
WP_005239112_1,491381230
WP_025432373_1,645061095
WP_025433058_1,645061780
WP_005245356_1,491387482
WP_025431614_1,645060336
WP_005252412_1,491394550
WP_005247733_1,491389860
WP_005244436_1,491386556
WP_025431613_1,645060335
WP_025432439_1,645061161
WP_025433452_1,645062174
WP_005240907_1,491383026
WP_005247564_1,491389691
WP_005239889_1,491382007
WP_005239878_1,491381996
WP_005239887_1,491382005
WP_005247561_1,491389688
WP_005256985_1,491399139
WP_005251360_1,491393498
WP_005251358_1,491393496
WP_005240767_1,491382886
WP_005252858_1,491394996
WP_025432391_1,645061113
WP_005251404_1,491393542
WP_005238684_1,491380801
WP_005251890_1,491394028
WP_005252390_1,491394528
WP_005252392_1,491394530
WP_005238997_1,491381115
WP_005251513_1,491393651
WP_005244413_1,491386532
WP_025432130_1,645060852
WP_005238822_1,491380940
WP_005248802_1,491390932
WP_025432132_1,645060854
WP_007300757_1,494511299
WP_005238714_1,491380831
WP_005239930_1,491382048
WP_005251343_1,491393481
WP_005240746_1,491382865
WP_005244735_1,491386857
WP_005240412_1,491382530
WP_005250166_1,491392303
WP_005238763_1,491380881
WP_005249635_1,491391771
WP_025432776_1,645061498
WP_025432937_1,645061659
WP_005238695_1,491380812
WP_005251397_1,491393535
WP_005252861_1,491394999
WP_005241793_1,491383912
WP_005243554_1,491385673
WP_005251305_1,491393443
WP_005248345_1,491390472
WP_025432978_1,645061700
WP_043943943_1,763062181
WP_005243363_1,491385482
WP_005243916_1,491386035
WP_025432068_1,645060790
WP_025432065_1,645060787
WP_025433886_1,645062608
WP_025431577_1,645060299
WP_005238685_1,491380802
WP_005244464_1,491386584
WP_005250502_1,491392639
WP_025433360_1,645062082
WP_005243514_1,491385633
WP_005248931_1,491391061
WP_005249698_1,491391834
WP_005241784_1,491383903
WP_025432095_1,645060817
WP_005250073_1,491392210
WP_005243112_1,491385231
WP_005239925_1,491382043
WP_005238509_1,491380626
WP_005239742_1,491381860
WP_005250834_1,491392972
WP_005243428_1,491385547
WP_005243405_1,491385524
WP_005250548_1,491392685
WP_005238991_1,491381109
WP_005248330_1,491390457
WP_025433244_1,645061966
WP_005248982_1,491391113
WP_005251408_1,491393546
WP_005251223_1,491393361
WP_005238793_1,491380911
WP_025432976_1,645061698
WP_005244657_1,491386779
WP_005237938_1,491380055
WP_005237760_1,491379875
WP_080578274_1,1171028134
WP_005239291_1,491381409
WP_005239292_1,491381410
WP_005239295_1,491381413
WP_025432067_1,645060789
WP_005563039_1,491721303
WP_025432864_1,645061586
WP_005239253_1,491381371
WP_005252414_1,491394552
WP_005247775_1,491389902
WP_005247755_1,491389882
WP_005246580_1,491388707
WP_025433328_1,645062050
WP_025433050_1,645061772
WP_005245035_1,491387158
WP_025433622_1,645062344
WP_005243810_1,491385929
WP_005252261_1,491394399
WP_005240752_1,491382871
WP_179443248_1,1869557805
WP_005258090_1,491400244
WP_037179298_1,739316806
WP_005248066_1,491390193
WP_037182248_1,739319764
WP_143548665_1,1711152243
WP_005239357_1,491381475
WP_005248237_1,491390364
WP_005242136_1,491384255
WP_005250093_1,491392230
WP_005241423_1,491383542
WP_005248256_1,491390383
WP_005240884_1,491383003
WP_005254820_1,491396972
WP_005247515_1,491389642
WP_005239426_1,491381544
WP_025433095_1,645061817
WP_005252421_1,491394559
WP_005250836_1,491392974
WP_025431556_1,645060278
WP_005248272_1,491390399
WP_005249055_1,491391188
WP_005246031_1,491388157
WP_005251522_1,491393660
WP_005251983_1,491394121
WP_005248712_1,491390841
WP_025433274_1,645061996
WP_037179256_1,739316764
WP_025432505_1,645061227
WP_025432111_1,645060833
WP_025431951_1,645060673
WP_005242678_1,491384797
WP_005243861_1,491385980
WP_063624747_1,1027686660
WP_005243872_1,491385991
WP_005242675_1,491384794
WP_005241220_1,491383339
WP_187300184_1,1897645997
WP_005247726_1,491389853
WP_187300237_1,1897646050
WP_005251015_1,491393153
WP_005243124_1,491385243
WP_005250549_1,491392686
WP_005244238_1,491386357
WP_005250550_1,491392687
WP_005252792_1,491394930
WP_025433016_1,645061738
WP_005249489_1,491391625
WP_005242149_1,491384268
WP_005239374_1,491381492
WP_005239928_1,491382046
WP_005244734_1,491386856
WP_005566972_1,491729509
WP_025432844_1,645061566
WP_005250992_1,491393130
WP_005248726_1,491390855
WP_005252054_1,491394192
WP_005238105_1,491380222
WP_005239791_1,491381909
WP_005246074_1,491388201
WP_005249106_1,491391239
WP_005573887_1,491740754
WP_005250032_1,491392169
WP_005248875_1,491391005
WP_005572244_1,491739111
WP_005247661_1,491389788
WP_005240598_1,491382716
WP_025431863_1,645060585
WP_005238097_1,491380214
WP_025433178_1,645061900
WP_025433059_1,645061781
WP_005252514_1,491394652
WP_005251668_1,491393806
WP_005241143_1,491383262
WP_005245018_1,491387141
WP_037181684_1,739319198
WP_025431746_1,645060468
WP_187300243_1,1897646056
WP_005241764_1,491383883
WP_187300227_1,1897646040
WP_005241006_1,491383125
WP_025431586_1,645060308
WP_005238484_1,491380601
WP_005244272_1,491386391
WP_005244099_1,491386218
WP_005244137_1,491386256
WP_005249250_1,491391384
WP_005243937_1,491386056
WP_005244926_1,491387049
WP_025432932_1,645061654
WP_187300245_1,1897646058
WP_005251685_1,491393823
WP_005250769_1,491392906
WP_005249833_1,491391969
WP_005243351_1,491385470
WP_005237868_1,491379984
WP_005240214_1,491382332
WP_005251986_1,491394124
WP_005238237_1,491380354
WP_037179861_1,739317369
WP_025432958_1,645061680
WP_005251402_1,491393540
WP_005248548_1,491390676
WP_005251924_1,491394062
WP_025433325_1,645062047
WP_005240391_1,491382509
WP_005245411_1,491387537
WP_005241487_1,491383606
WP_005249944_1,491392080
WP_005245351_1,491387477
WP_005249801_1,491391937
WP_005252877_1,491395015
WP_005250990_1,491393128
WP_005247527_1,491389654
WP_005241304_1,491383423
WP_005244770_1,491386892
WP_005240212_1,491382330
WP_005245474_1,491387600
WP_005244806_1,491386928
WP_005247909_1,491390036
WP_025432918_1,645061640
WP_005251984_1,491394122
WP_005245652_1,491387778
WP_037179844_1,739317352
WP_005250875_1,491393013
WP_005251723_1,491393861
WP_005239833_1,491381951
WP_005250165_1,491392302
WP_005245189_1,491387315
WP_005245212_1,491387338
WP_005244820_1,491386943
WP_025431747_1,645060469
WP_005251011_1,491393149
WP_037179823_1,739317331
WP_005252944_1,491395083
WP_005239866_1,491381984
WP_005252946_1,491395085
WP_025432906_1,645061628
WP_025431674_1,645060396
WP_005247524_1,491389651
WP_005250330_1,491392467
WP_005246310_1,491388437
WP_005250256_1,491392393
WP_005244063_1,491386182
WP_005244976_1,491387099
WP_005244676_1,491386798
WP_005244678_1,491386800
WP_005244642_1,491386763
WP_005244670_1,491386792
WP_005246900_1,491389027
WP_187300187_1,1897646000
WP_025432540_1,645061262
WP_005240338_1,491382456
WP_005247725_1,491389852
WP_005248976_1,491391107
WP_005242822_1,491384941
WP_005239870_1,491381988
WP_005244440_1,491386560
WP_005251483_1,491393621
WP_005251848_1,491393986
WP_005258023_1,491400177
WP_005247506_1,491389633
WP_005247522_1,491389649
WP_005247490_1,491389617
WP_005252725_1,491394863
WP_005247732_1,491389859
WP_005250481_1,491392618
WP_005244314_1,491386433
WP_005251836_1,491393974
WP_005244312_1,491386431
WP_025431853_1,645060575
WP_025433516_1,645062238
WP_005246089_1,491388216
WP_005249992_1,491392129
WP_005246071_1,491388198
WP_005239789_1,491381907
WP_005244633_1,491386754
WP_005239781_1,491381899
WP_005246355_1,491388482
WP_025431999_1,645060721
WP_005243493_1,491385612
WP_005237814_1,491379930
WP_025432957_1,645061679
WP_005252332_1,491394470
WP_025432956_1,645061678
WP_005248145_1,491390272
WP_005243501_1,491385620
WP_025432955_1,645061677
WP_005246065_1,491388192
WP_037178950_1,739316457
WP_005250354_1,491392491
WP_187300224_1,1897646037
WP_005243003_1,491385122
WP_005240388_1,491382506
WP_005240402_1,491382520
WP_005237932_1,491380049
WP_025432333_1,645061055
WP_005248627_1,491390756
WP_005238486_1,491380603
WP_005243769_1,491385888
WP_025431817_1,645060539
WP_005247029_1,491389156
WP_025432573_1,645061295
WP_143767456_1,1712609300
WP_005252285_1,491394423
WP_025433311_1,645062033
WP_025432919_1,645061641
WP_005259666_1,491401820
WP_005240868_1,491382987
WP_005240869_1,491382988
WP_005244592_1,491386713
